Date,Open,High,Low,Close,Percentage Change,Average
12/31/1925,"5.1800","5.1800","5.1800","5.1800", ,"5.1800"
12/31/1926,"5.1800","5.1800","5.1800","5.1800",0.00%,"5.1800"
12/31/1927,"5.1800","5.1800","5.1800","5.1800",0.00%,"5.1800"
12/31/1928,"5.1800","5.1800","5.1800","5.1800",0.00%,"5.1800"
12/31/1929,"5.1870","5.2080","5.1870","5.2080",0.54%,"5.2022"
12/31/1930,"5.2080","5.2080","5.1810","5.1810",-0.52%,"5.1931"
12/31/1931,"5.1840","5.1840","5.1600","5.1650",-0.31%,"5.1727"
12/31/1932,"5.1650","5.1760","5.1570","5.1760",0.21%,"5.1655"
12/30/1933,"5.1760","5.1760","3.2690","3.3290",-35.68%,"4.2014"
12/31/1934,"3.3100","3.3100","3.0600","3.0870",-7.27%,"3.1183"
12/31/1935,"3.0770","3.0770","3.0490","3.0560",-1.00%,"3.0620"
12/31/1936,"3.0530","3.0560","3.0530","3.0560",0.00%,"3.0550"
12/31/1937,"3.0560","3.0560","3.0560","3.0560",0.00%,"3.0560"
12/31/1938,"3.0560","3.0620","3.0530","3.0590",0.10%,"3.0575"
12/30/1939,"3.0650","3.1700","3.0410","3.1700",3.63%,"3.0891"
12/31/1940,"3.1710","3.1840","3.1710","3.1810",0.35%,"3.1790"
12/31/1941,"3.1770","3.1810","3.0380","3.0380",-4.50%,"3.0769"
12/31/1942,"3.0380","3.0380","3.0380","3.0380",0.00%,"3.0380"
12/31/1943,"3.0376","19.2000","3.0376","16.0000",426.66%,"11.9460"
12/30/1944,"16.0000","16.0000","16.0000","16.0000",0.00%,"16.0000"
12/31/1945,"16.0000","20.0000","16.0000","20.0000",25.00%,"17.3333"
12/31/1946,"20.0000","50.0000","20.0000","50.0000",150.00%,"25.0000"
12/31/1947,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1948,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1949,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1950,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1951,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1952,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
