Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"5.7143","7.7220","5.7143","7.7220", ,"6.5297"
12/30/1916,"7.7519","9.0253","6.5574","8.4746",9.75%,"8.0138"
12/31/1917,"8.5106","11.4440","8.1750","8.1750",-3.54%,"10.1365"
12/31/1918,"7.8330","16.2170","7.4320","15.5420",90.12%,"10.0041"
12/31/1919,"15.2240","196.0800","15.2240","172.4100",1009.32%,"54.0152"
12/31/1920,"169.4900","487.8000","125.0000","444.4400",157.78%,"242.4121"
12/31/1921,"434.7800","3,809.5000","317.4600","2,857.1000",542.85%,"1,137.5203"
12/30/1922,"2,963.0000","90,909.0000","2,963.0000","68,966.0000",2313.85%,"36,242.5323"
12/31/1923,"68,966.0000","71,429.0000","68,966.0000","70,800.0000",2.66%,"70,467.3484"
12/31/1924,"7.1429","7.1429","7.1429","7.1429",-99.99%,"7.1429"
12/31/1925,"7.1429","7.1429","7.1429","7.1429",0.00%,"7.1429"
12/31/1926,"7.1429","7.1429","7.1429","7.1429",0.00%,"7.1429"
12/31/1927,"7.1429","7.1429","7.0922","7.1023",-0.57%,"7.1228"
12/31/1928,"7.1023","7.1225","7.0972","7.0998",-0.04%,"7.1042"
12/31/1929,"7.0972","7.1250","7.0972","7.1048",0.07%,"7.1126"
12/31/1930,"7.1048","7.1124","7.0696","7.1035",-0.02%,"7.0960"
12/31/1931,"7.1048","7.2727","7.1048","7.1685",0.92%,"7.1364"
12/31/1932,"7.1723","7.2098","7.1378","7.1633",-0.07%,"7.1664"
12/30/1933,"7.1608","7.2490","5.2632","5.6117",-21.66%,"6.5443"
12/31/1934,"5.6117","5.6915","5.2083","5.3248",-5.11%,"5.3212"
12/31/1935,"5.3163","5.3821","5.2493","5.3163",-0.16%,"5.3137"
12/31/1936,"5.3191","5.3562","5.2632","5.3533",0.70%,"5.3232"
12/31/1937,"5.3533","5.3562","5.2770","5.2952",-1.09%,"5.3288"
12/31/1938,"5.2952","5.3277","5.2701","5.2850",-0.19%,"5.2857"
12/30/1939,"5.2850","5.2850","5.2850","5.2850",0.00%,"5.2850"
12/31/1940,"5.2850","5.2850","5.2850","5.2850",0.00%,"5.2850"
12/31/1941,"5.2850","5.2850","5.2850","5.2850",0.00%,"5.2850"
12/31/1942,"5.2850","5.2850","5.2850","5.2850",0.00%,"5.2850"
12/31/1943,"5.2850","5.2850","5.2850","5.2850",0.00%,"5.2850"
12/30/1944,"5.2850","5.2850","5.2850","5.2850",0.00%,"5.2850"
12/31/1945,"5.2850","10.0000","5.2850","10.0000",89.21%,"8.0897"
12/31/1946,"10.0000","10.0000","10.0000","10.0000",0.00%,"10.0000"
12/31/1947,"10.0000","10.0000","10.0000","10.0000",0.00%,"10.0000"
12/31/1948,"10.0000","10.0000","10.0000","10.0000",0.00%,"10.0000"
12/31/1949,"10.0000","26.0500","10.0000","26.0500",160.50%,"11.6270"
12/30/1950,"31.3595","32.8149","26.0000","26.0000",-0.19%,"30.1278"
12/31/1951,"26.0000","26.0000","26.0000","26.0000",0.00%,"26.0000"
12/31/1952,"26.0000","26.0000","26.0000","26.0000",0.00%,"26.0000"
