Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1918,__CDF_D,1.3139,1.6559,1.25,1.25,1.388308333
12/31/1919,__CDF_D,1.1452,2.082,1.1343,2.082,1.463925
12/31/1920,__CDF_D,2.3599,3.2005,2.3148,3.2005,2.746008333
12/31/1921,__CDF_D,2.9542,2.9542,2.3908,2.6541,2.693158333
12/31/1922,__CDF_D,2.5594,3.1397,2.3476,3.0099,2.629358333
12/31/1923,__CDF_D,3.2914,4.3964,3.2914,4.3653,3.867866667
12/31/1924,__CDF_D,4.7825,5.2124,3.8227,4.0282,4.353116667
12/31/1925,__CDF_D,3.9547,4.5413,3.9409,4.4154,4.214433333
12/31/1926,__CDF_D,4.4092,8.2474,4.4022,7.1891,6.3828
12/31/1927,__CDF_D,7.1906,7.1994,7.1487,7.1487,7.18615
12/31/1928,__CDF_D,7.1713,7.1942,7.1612,7.1891,7.179333333
12/31/1929,__CDF_D,7.1942,7.2046,7.1429,7.1429,7.187833333
12/31/1930,__CDF_D,7.1736,7.1787,7.1531,7.1633,7.167616667
12/31/1931,__CDF_D,7.1736,7.1942,7.148,7.1942,7.179633333
12/31/1932,__CDF_D,7.1891,7.2202,7.1327,7.2202,7.187458333
12/31/1933,__CDF_D,7.2135,7.2135,4.4808,4.6024,5.794041667
12/31/1934,__CDF_D,4.538,4.538,4.2135,4.2746,4.296191667
12/31/1935,__CDF_D,4.2891,5.9358,4.2865,5.9324,5.519075
12/31/1936,__CDF_D,5.9048,5.9399,5.868,5.9169,5.911033333
12/31/1937,__CDF_D,5.9313,5.9402,5.8794,5.8876,5.925258333
12/31/1938,__CDF_D,5.9081,5.9399,5.8911,5.9372,5.918783333
12/31/1939,__CDF_D,5.9196,6.0645,5.8726,6.0324,5.934708333
12/31/1940,__CDF_D,5.9405,6.1881,5.8894,6.1881,6.081133333
12/31/1941,__CDF_D,6.1881,6.1881,6.1881,6.1881,6.1881
12/31/1942,__CDF_D,6.1881,6.1881,6.1881,6.1881,6.1881
12/31/1943,__CDF_D,6.1881,6.1881,6.1881,6.1881,6.1881
12/31/1944,__CDF_D,29.4,43.77,29.4,43.77,34.19
12/31/1945,__CDF_D,43.8275,43.8275,43.8275,43.8275,43.8275
12/31/1946,__CDF_D,43.8275,43.8275,43.8275,43.8275,43.8275
12/31/1947,__CDF_D,43.8275,43.8275,43.8275,43.8275,43.8275
12/31/1948,__CDF_D,43.8275,43.8275,43.8275,43.8275,43.8275
12/31/1949,__CDF_D,43.8275,50.15,43.8275,50.15,45.935
12/31/1950,__CDF_D,50.15,50.15,50.15,50.15,50.15
12/31/1951,__CDF_D,50.15,50.15,50.15,50.15,50.15
