Date,Open,High,Low,Close,Percentage Change,Average
12/31/1921,"4.4701","4.6000","4.2299","4.2299", ,"4.4375"
12/31/1922,"4.3200","4.5300","4.3100","4.4001",4.02%,"4.3900"
12/31/1923,"4.5200","4.5200","4.3200","4.4899",2.04%,"4.4575"
12/31/1924,"4.3600","4.3600","4.0000","4.0199",-10.47%,"4.0758"
12/31/1925,"4.0000","4.0000","4.0000","4.0000",-0.50%,"4.0000"
12/31/1926,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1927,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1928,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1929,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1930,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1931,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1932,"4.1152","4.5045","4.1152","4.5045",12.61%,"4.4098"
12/31/1933,"4.4494","4.7517","3.8916","4.4991",-0.12%,"4.5093"
12/31/1934,"4.4991","4.4991","4.2437","4.2504",-5.53%,"4.2745"
12/31/1935,"4.2500","6.8276","4.2500","6.8276",60.63%,"5.9234"
12/31/1936,"6.8324","6.8324","5.5363","5.6300",-17.54%,"6.1492"
12/31/1937,"5.6200","5.6200","5.6200","5.6200",-0.18%,"5.6200"
12/31/1938,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1939,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1940,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1941,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1942,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1943,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1944,"5.6200","5.6200","5.6200","5.6200",0.00%,"5.6200"
12/31/1945,"5.6211","5.6350","5.6211","5.6350",0.27%,"5.6280"
12/31/1946,"5.6350","5.6350","5.6350","5.6350",0.00%,"5.6350"
12/31/1947,"5.6350","5.6350","5.6350","5.6350",0.00%,"5.6350"
12/31/1948,"5.6350","5.6350","5.6350","5.6350",0.00%,"5.6350"
12/31/1949,"5.6350","5.6350","5.6350","5.6350",0.00%,"5.6350"
12/31/1950,"5.6350","5.6350","5.6350","5.6350",0.00%,"5.6350"
12/31/1951,"5.6350","7.6000","5.6350","7.0000",24.22%,"7.4210"
12/31/1952,"7.0000","7.0000","6.6500","6.6500",-5.00%,"6.7828"
