Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"5.7500","7.3900","5.7500","7.3900", ,"6.5217"
12/31/1916,"7.8600","8.4400","7.4900","8.4200",13.94%,"7.9667"
12/31/1917,"8.8600","11.5000","8.8600","9.4600",12.35%,"10.4067"
12/31/1918,"8.1700","16.1600","8.0000","16.1600",70.82%,"10.3008"
12/31/1919,"16.3400","55.9910","15.2440","55.9910",246.48%,"26.9787"
12/31/1920,"73.1530","102.0410","37.0370","88.8890",58.76%,"66.7025"
12/31/1921,"88.8890","108.9920","64.5160","67.1140",-24.50%,"80.5777"
12/30/1922,"64.5160","64.5160","26.8100","32.3620",-51.78%,"44.2287"
12/31/1923,"32.2580","36.3640","32.2580","34.3500",6.14%,"33.8336"
12/31/1924,"34.4530","34.7830","32.9490","33.0580",-3.76%,"33.8126"
12/31/1925,"33.1260","33.8410","33.1260","33.7410",2.07%,"33.7038"
12/31/1926,"33.7550","33.7550","33.6980","33.7410",0.00%,"33.7426"
12/31/1927,"33.7410","33.8410","33.7270","33.7840",0.13%,"33.7620"
12/31/1928,"33.7840","33.8980","33.7550","33.7550",-0.09%,"33.7915"
12/31/1929,"33.7550","33.8270","33.6840","33.7840",0.09%,"33.7874"
12/31/1930,"33.8120","33.8270","33.6980","33.7410",-0.13%,"33.7495"
12/31/1931,"33.7550","33.8700","33.7410","33.7700",0.09%,"33.7750"
12/31/1932,"33.7700","33.8410","33.7550","33.7840",0.04%,"33.7943"
12/30/1933,"33.7840","33.7840","20.2430","21.2310",-37.16%,"27.1614"
12/31/1934,"21.2090","24.2720","20.5760","23.8950",12.55%,"23.6239"
12/31/1935,"23.8660","24.2130","23.6410","24.0670",0.72%,"24.0279"
12/31/1936,"24.0670","28.5710","23.8100","28.5710",18.71%,"25.1014"
12/31/1937,"28.5710","28.7150","28.3690","28.4900",-0.28%,"28.6347"
12/31/1938,"28.4900","29.0490","20.7730","20.7730",-27.09%,"26.7458"
12/30/1939,"20.7780","26.5460","20.7580","24.9700",20.20%,"24.1259"
12/31/1940,"24.9800","25.1900","24.9400","24.9900",0.08%,"24.9973"
12/31/1941,"24.9900","24.9900","24.9600","24.9600",-0.12%,"24.9753"
12/31/1942,"24.9300","24.9300","24.9200","24.9200",-0.16%,"24.9250"
12/31/1943,"24.9240","24.9280","24.8700","24.8700",-0.20%,"24.9111"
12/30/1944,"24.8700","24.8770","24.8700","24.8770",0.03%,"24.8723"
12/31/1945,"24.8770","50.0000","24.8770","50.0000",100.99%,"30.6720"
12/31/1946,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1947,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1948,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1949,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1950,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1951,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
12/31/1952,"50.0000","50.0000","50.0000","50.0000",0.00%,"50.0000"
