Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"4.0200","4.1300","3.6700","3.7400", ,"3.9307"
12/30/1916,"3.7200","3.7500","3.3000","3.6800",-1.60%,"3.5929"
12/31/1917,"3.6800","3.6800","2.8000","3.2700",-11.14%,"3.3897"
12/31/1918,"3.2900","3.7600","3.1600","3.7300",14.07%,"3.3596"
12/31/1919,"3.7300","5.6700","3.7300","5.2000",39.41%,"4.3622"
12/31/1920,"5.2700","7.6800","5.2500","6.4600",24.23%,"6.4472"
12/31/1921,"6.3800","6.6400","4.7500","4.9800",-22.91%,"5.6529"
12/30/1922,"4.9700","5.0800","4.5200","4.8700",-2.21%,"4.7876"
12/31/1923,"4.8800","5.9936","4.8800","5.6259",15.52%,"5.4538"
12/31/1924,"5.6402","6.5408","5.6232","5.6352",0.17%,"5.9691"
12/31/1925,"5.6472","5.6472","3.9307","4.0346",-28.40%,"4.8115"
12/31/1926,"4.0305","4.0510","3.7418","3.7418",-7.26%,"3.8037"
12/31/1927,"3.7435","3.7488","3.7207","3.7242",-0.47%,"3.7358"
12/31/1928,"3.7242","3.7471","3.7207","3.7365",0.33%,"3.7340"
12/31/1929,"3.7382","3.7488","3.7155","3.7207",-0.42%,"3.7394"
12/31/1930,"3.7207","3.7365","3.7207","3.7365",0.42%,"3.7312"
12/31/1931,"3.7373","5.5654","3.7286","5.3267",42.56%,"4.0242"
12/31/1932,"5.3159","6.0778","4.7487","5.8263",9.38%,"5.3323"
12/30/1933,"5.7924","6.6010","4.1281","4.4138",-24.24%,"5.3693"
12/31/1934,"4.3448","4.5862","4.3202","4.5414",2.89%,"4.4437"
12/31/1935,"4.5365","4.7288","4.4970","4.5513",0.22%,"4.5713"
12/31/1936,"4.5513","4.6055","4.4329","4.5759",0.54%,"4.5188"
12/31/1937,"4.5759","4.6055","4.4872","4.4970",-1.72%,"4.5427"
12/31/1938,"4.4921","4.8471","4.4625","4.8274",7.35%,"4.5968"
12/30/1939,"4.8373","5.1730","4.7830","5.1730",7.16%,"4.9199"
12/31/1940,"5.1730","5.1730","5.1730","5.1730",0.00%,"5.1730"
12/31/1941,"5.1730","5.1730","5.1730","5.1730",0.00%,"5.1730"
12/31/1942,"5.1730","5.1730","4.7681","4.7681",-7.83%,"4.7910"
12/31/1943,"4.7681","4.7681","4.7681","4.7681",0.00%,"4.7681"
12/30/1944,"4.7681","4.7681","4.7681","4.7681",0.00%,"4.7681"
12/31/1945,"4.7681","4.8057","4.7680","4.8057",0.79%,"4.7820"
12/31/1946,"4.8057","4.8057","4.8057","4.8057",0.00%,"4.8057"
12/31/1947,"4.8057","4.8057","4.8057","4.8057",0.00%,"4.8057"
12/31/1948,"4.8057","4.8057","4.8057","4.8057",0.00%,"4.8057"
12/31/1949,"4.8057","6.9369","4.8048","6.9369",44.35%,"5.4332"
12/30/1950,"6.9369","6.9369","6.9369","6.9369",0.00%,"6.9369"
12/31/1951,"6.9369","6.9369","6.9162","6.9162",-0.30%,"6.9271"
12/31/1952,"6.9162","6.9162","6.9162","6.9162",0.00%,"6.9162"
