Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1921,__EEK_D,3.6,3.93,2.9,3.73,3.489166667
12/31/1922,__EEK_D,3.62,3.62,3.2203,3.3966,3.389757193
12/31/1923,__EEK_D,3.3866,3.9902,3.2991,3.9852,3.431828387
12/31/1924,__EEK_D,3.9842,4.6069,3.693,3.693,3.907715434
12/31/1925,__EEK_D,3.693,3.7453,3.693,3.7277,3.721065049
12/31/1926,__EEK_D,3.7277,3.7277,3.7103,3.7103,3.717428387
12/31/1927,__EEK_D,3.7103,3.7277,3.7103,3.7103,3.719112987
12/31/1928,__EEK_D,3.7172,3.7277,3.7137,3.7277,3.720515182
12/31/1929,__EEK_D,3.7242,3.7347,3.7242,3.7242,3.729823625
12/31/1930,__EEK_D,3.7242,3.7559,3.7242,3.7488,3.74220418
12/31/1931,__EEK_D,3.7488,3.8561,3.6932,3.7358,3.750709385
12/31/1932,__EEK_D,3.7197,3.9802,3.6872,3.8515,3.792969775
12/31/1933,__EEK_D,3.8399,4.4664,2.9637,3.584,3.70816039
12/31/1934,__EEK_D,3.528,3.724,3.508,3.684,3.607184466
12/31/1935,__EEK_D,3.68,3.836,3.648,3.6773,3.704929545
12/31/1936,__EEK_D,3.6773,3.7211,3.5817,3.6972,3.651073786
12/31/1937,__EEK_D,3.6972,3.7211,3.6255,3.6335,3.670342258
12/31/1938,__EEK_D,3.6295,3.9163,3.6056,3.9004,3.714037864
12/31/1939,__EEK_D,3.9084,4.2,3.8645,4.1471,3.967874837
12/31/1940,__EEK_D,4.1471,5.3,4.1471,5.3,4.164915385
12/31/1941,__EEK_D,5.3,5.3,2.4957,2.4957,3.898075
12/31/1942,__EEK_D,2.4928,2.4928,2.4925,2.4925,2.49265
12/31/1943,__EEK_D,2.4925,2.4928,2.487,2.487,2.491175
12/31/1944,__EEK_D,5.3,5.3,5.3,5.3,5.3
12/31/1945,__EEK_D,5.3,5.3,5.3,5.3,5.3
12/31/1946,__EEK_D,5.3,5.3,5.3,5.3,5.3
12/31/1947,__EEK_D,5.3,5.3,5.3,5.3,5.3
12/31/1948,__EEK_D,5.3,5.3,5.3,5.3,5.3
12/31/1949,__EEK_D,5.3,5.3,5.3,5.3,5.3
12/31/1950,__EEK_D,5.3,5.3,4,4,4.108333333
12/31/1951,__EEK_D,4,4,4,4,4
