Date,Ticker,Open,High,Low,Close,Close_Percent_Change,Period_Change,Period_Average
12/31/1918,__FJD_D,4.2882,4.29,4.2882,4.29,,,4.28895
12/31/1919,__FJD_D,4.29,4.29,3.4317,3.4317,-0.20006993,-0.8583,3.98795
12/31/1920,__FJD_D,3.3102,3.5549,3.0423,3.1437,-0.08392342,-0.288,3.2936
12/31/1921,__FJD_D,3.3681,3.7411,3.269,3.7411,0.190030855,0.5974,3.466891667
12/31/1922,__FJD_D,3.8023,4.1494,3.8023,4.1494,0.109139023,0.4083,3.985825
12/31/1923,__FJD_D,4.1894,4.2248,3.9246,3.9246,-0.054176507,-0.2248,4.11835
12/31/1924,__FJD_D,3.8329,4.2265,3.8329,4.2265,0.076925037,0.3019,3.97605
12/31/1925,__FJD_D,4.3048,4.3745,4.2955,4.3649,0.032745771,0.1384,4.345675
12/31/1926,__FJD_D,4.3725,4.3783,4.3649,4.3668,0.000435291,0.0019,4.371591667
12/31/1927,__FJD_D,4.3668,4.3937,4.3649,4.3937,0.006160117,0.0269,4.374783333
12/31/1928,__FJD_D,4.3879,4.3937,4.3649,4.3668,-0.006122403,-0.0269,4.379591667
12/31/1929,__FJD_D,4.3649,4.3937,4.363,4.3937,0.006160117,0.0269,4.3716
12/31/1930,__FJD_D,4.3821,4.384,4.3706,4.3706,-0.005257528,-0.0231,4.375883333
12/31/1931,__FJD_D,4.3687,4.3802,3.0367,3.0367,-0.305198371,-1.3339,4.079075
12/31/1932,__FJD_D,3.0883,3.375,2.9481,2.9507,-0.028320216,-0.086,3.153575
12/31/1933,__FJD_D,3.0248,4.6339,3.0248,4.6041,0.560341614,1.6534,3.7958
12/31/1934,__FJD_D,4.5455,4.6382,4.4464,4.4504,-0.033383289,-0.1537,4.534791667
12/31/1935,__FJD_D,4.4033,4.4723,4.2974,4.4366,-0.003100845,-0.0138,4.411791667
12/31/1936,__FJD_D,4.4663,4.531,4.3995,4.417,-0.004417797,-0.0196,4.473241667
12/31/1937,__FJD_D,4.417,4.4984,4.3975,4.4984,0.018428798,0.0814,4.450125
12/31/1938,__FJD_D,4.5005,4.5167,4.2034,4.2034,-0.065578872,-0.295,4.400383333
12/31/1939,__FJD_D,4.2017,4.2176,3.5323,3.5373,-0.158466955,-0.6661,3.993183333
12/31/1940,__FJD_D,3.5676,3.6324,2.9464,3.6324,0.026884912,0.0951,3.450941667
12/31/1941,__FJD_D,3.6311,3.6324,3.6219,3.6324,0,0,3.628316667
12/31/1942,__FJD_D,3.6324,3.6324,3.6324,3.6324,0,0,3.6324
12/31/1943,__FJD_D,3.6324,3.6324,3.6324,3.6324,0,0,3.6324
12/31/1944,__FJD_D,3.6324,3.6324,3.6324,3.6324,0,0,3.6324
12/31/1945,__FJD_D,3.6324,3.6324,3.6219,3.6311,-0.00035789,-0.0013,3.629766667
12/31/1946,__FJD_D,1.872,2.7005,1.845,2.7005,-0.256285974,-0.9306,2.169775
12/31/1947,__FJD_D,2.6103,2.6103,2.2502,2.2502,-0.166746899,-0.4503,2.4871
12/31/1948,__FJD_D,2.3403,2.727,2.1598,2.727,0.211892276,0.4768,2.517858333
12/31/1949,__FJD_D,2.6817,2.7809,2.1418,2.1418,-0.214594793,-0.5852,2.511716667
12/31/1950,__FJD_D,2.1598,2.3218,2.1598,2.2681,0.058969091,0.1263,2.267275
12/31/1951,__FJD_D,2.3132,2.3579,2.1418,2.2046,-0.027997002,-0.0635,2.283733333
