Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"4.5390","5.2632","4.5390","5.2632", ,"4.8565"
12/30/1916,"5.2805","6.0320","5.1613","5.4514",3.58%,"5.5089"
12/31/1917,"5.4795","7.4440","5.1090","5.1090",-6.28%,"6.5499"
12/31/1918,"5.0620","9.2100","4.9550","8.0220",57.02%,"5.9750"
12/31/1919,"7.9360","53.4800","7.9270","49.7500",520.17%,"20.0034"
12/31/1920,"48.7800","101.0100","33.9000","74.0700",48.88%,"63.6086"
12/31/1921,"76.0500","310.0800","55.8700","186.0500",151.18%,"106.9747"
12/30/1922,"186.7500","9,150.0000","168.5000","7,325.0000",3837.11%,"1,889.6213"
12/31/1923,"7,260.0000","6,250,000,023,552.0000","7,260.0000","4,349,999,972,352.0000",59385665051.56%,"383,615,997,037.2033"
12/31/1924,"4,549,999,853,568.0000","4,749,999,996,928.0000","4.1885","4.1982",-100.00%,"3,410,641,022,031.6685"
12/31/1925,"4.1999","4.2017","4.1990","4.1999",0.04%,"4.2000"
12/31/1926,"4.1999","4.2194","4.1973","4.2061",0.15%,"4.2026"
12/31/1927,"4.2061","4.2283","4.1850","4.1911",-0.36%,"4.2097"
12/31/1928,"4.1911","4.2079","4.1789","4.2017",0.25%,"4.1943"
12/31/1929,"4.2070","4.2393","4.1780","4.1876",-0.34%,"4.2036"
12/31/1930,"4.1902","4.2105","4.1863","4.2012",0.32%,"4.1959"
12/31/1931,"4.2017","5.0000","4.1973","4.2176",0.39%,"4.2394"
12/31/1932,"4.2194","4.2608","4.1894","4.2017",-0.38%,"4.2131"
12/30/1933,"4.2052","4.3011","2.5394","2.6667",-36.53%,"3.4128"
12/31/1934,"2.6596","2.7100","2.4582","2.4826",-6.90%,"2.5430"
12/31/1935,"2.4808","2.5253","2.4552","2.4851",0.10%,"2.4850"
12/31/1936,"2.4854","2.5707","2.4516","2.4857",0.02%,"2.4821"
12/31/1937,"2.4857","2.4981","2.4725","2.4839",-0.07%,"2.4875"
12/31/1938,"2.4829","2.5253","2.4670","2.4938",0.40%,"2.4900"
12/30/1939,"2.4944","2.6546","2.4752","2.4970",0.13%,"2.4972"
12/31/1940,"2.4980","2.5190","2.4940","2.4990",0.08%,"2.4997"
12/31/1941,"2.4990","2.4990","2.4960","2.4960",-0.12%,"2.4975"
12/31/1942,"2.4930","2.4930","2.4920","2.4920",-0.16%,"2.4925"
12/31/1943,"2.4920","2.4930","2.4870","2.4870",-0.20%,"2.4909"
12/30/1944,"2.4870","2.4880","2.4870","2.4880",0.04%,"2.4873"
12/31/1945,"10.0000","10.0000","10.0000","10.0000",301.93%,"10.0000"
12/31/1946,"10.0000","10.0000","10.0000","10.0000",0.00%,"10.0000"
12/31/1947,"10.0000","10.0000","10.0000","10.0000",0.00%,"10.0000"
12/31/1948,"10.0000","10.0000","3.3300","3.3300",-66.70%,"7.2208"
12/31/1949,"3.3300","4.2000","3.3300","4.2000",26.13%,"3.6200"
12/30/1950,"4.2000","5.7217","4.2000","4.2000",0.00%,"4.2000"
12/31/1951,"4.2000","4.2000","4.2000","4.2000",0.00%,"4.2000"
12/31/1952,"4.2000","4.2000","4.2000","4.2000",0.00%,"4.2000"
