Date,Open,High,Low,Close,Percentage Change,Average
12/31/1924,"1.0000","1.0000","1.0000","1.0000", ,"1.0000"
12/31/1925,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1926,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1927,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1928,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1929,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1930,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1931,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1932,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/30/1933,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1934,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1935,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1936,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1937,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1938,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/30/1939,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1940,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1941,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1942,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1943,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/30/1944,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1945,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1946,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1947,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1948,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1949,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1950,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1951,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
12/31/1952,"1.0000","1.0000","1.0000","1.0000",0.00%,"1.0000"
