Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"2.3590","2.4270","2.1810","2.2120", ,"2.3293"
12/29/1916,"2.1680","2.1820","1.7520","1.7520",-20.80%,"1.9922"
12/28/1917,"1.7680","1.8320","1.1630","1.4340",-18.15%,"1.6229"
12/27/1918,"1.4080","1.4390","1.1170","1.2900",-10.04%,"1.2823"
12/27/1919,"1.2460","1.3560","0.9780","0.9800",-24.03%,"1.1882"
12/31/1920,"0.9850","1.8520","0.9700","1.7540",78.98%,"1.3038"
12/31/1921,"1.7540","2.2220","1.6950","1.8180",3.65%,"1.9291"
12/30/1922,"1.8180","1.9510","1.6810","1.8870",3.80%,"1.7880"
12/31/1923,"1.8870","1.9700","1.7740","1.9510",3.39%,"1.8835"
12/31/1924,"1.9660","2.0000","1.7780","1.8060",-7.43%,"1.8922"
12/31/1925,"1.8020","1.8520","1.6390","1.7090",-5.37%,"1.7552"
12/31/1926,"1.7090","2.1950","1.6990","2.0780",21.59%,"1.8695"
12/31/1927,"2.0730","2.0830","1.9050","1.9800",-4.72%,"2.0250"
12/31/1928,"1.9800","2.0140","1.9000","2.0000",1.01%,"1.9939"
12/31/1929,"2.0040","2.4460","1.9920","2.4460",22.30%,"2.1198"
12/31/1930,"2.4460","3.7560","2.4460","3.7560",53.56%,"2.9703"
12/31/1931,"3.7910","4.5200","3.4480","3.9510",5.19%,"4.0831"
12/31/1932,"3.9870","4.7550","3.8680","4.7390",19.94%,"4.2718"
12/30/1933,"4.7330","4.7330","2.6120","2.6730",-43.60%,"3.5370"
12/31/1934,"2.6320","2.8550","2.3420","2.3420",-12.38%,"2.5871"
12/31/1935,"2.3440","3.1620","1.6340","3.1410",34.12%,"2.1399"
12/31/1936,"3.2080","3.3060","3.0280","3.2700",4.11%,"3.1572"
12/31/1937,"3.2690","3.3150","3.1650","3.2040",-2.02%,"3.2580"
12/31/1938,"3.2030","3.4650","3.1790","3.4450",7.52%,"3.2861"
12/30/1939,"3.4550","4.2440","3.4250","4.0620",17.91%,"3.6612"
12/31/1940,"4.0620","5.1490","4.0310","4.2340",4.23%,"4.3712"
12/31/1941,"4.2320","4.2590","3.9700","3.9980",-5.57%,"4.0662"
12/31/1942,"4.0000","4.0000","4.0000","4.0000",0.05%,"4.0000"
12/31/1943,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/30/1944,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1945,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1946,"3.9450","4.8800","3.9450","4.8000",20.00%,"4.1387"
12/31/1947,"4.7800","5.7400","4.5600","4.9700",3.54%,"4.9969"
12/31/1948,"4.9000","5.9200","4.8800","4.9300",-0.80%,"5.3421"
12/31/1949,"4.9400","8.1000","4.9400","6.6000",33.87%,"5.9182"
12/30/1950,"6.5800","6.6700","5.9750","6.0200",-8.79%,"6.3333"
12/31/1951,"6.0450","7.0100","6.0000","6.6075",9.76%,"6.3959"
12/31/1952,"6.6075","6.7750","6.0075","6.0075",-9.08%,"6.4584"
