Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"5.8310","7.4870","5.8310","7.4870", ,"6.6218"
12/31/1916,"8.0620","9.6560","7.7280","9.6560",28.97%,"8.3234"
12/31/1917,"9.3840","11.4300","9.2330","9.2330",-4.38%,"10.5193"
12/31/1918,"8.0310","15.8940","7.9440","15.8940",72.14%,"10.1855"
12/31/1919,"16.2040","168.2190","16.2040","168.2190",958.38%,"56.3484"
12/31/1920,"252.9390","565.0000","162.6020","565.0000",235.87%,"454.3043"
12/31/1921,"600.0000","1,142.9000","196.1000","597.0000",5.66%,"470.3341"
12/30/1922,"606.1000","2,500.0000","571.4000","2,462.0000",312.40%,"1,418.7171"
12/31/1923,"2,424.0000","25,000.0000","2,353.0000","19,048.0000",673.68%,"10,797.6495"
12/31/1924,"18,868.0000","90,909.0000","18,868.0000","72,727.0000",281.81%,"67,522.5641"
12/31/1925,"72,727.0000","72,727.0000","70,175.0000","70,175.0000",-3.51%,"70,858.2958"
12/31/1926,"70,800.0000","71,174.0000","70,175.0000","70,800.0000",0.89%,"70,745.2830"
12/31/1927,"5.6820","5.8820","5.6500","5.7210",-99.99%,"5.7168"
12/31/1928,"5.7210","5.7470","5.7080","5.7360",0.26%,"5.7264"
12/31/1929,"5.7340","5.7410","5.7080","5.7110",-0.44%,"5.7331"
12/31/1930,"5.7110","5.7240","5.6960","5.7160",0.09%,"5.7163"
12/31/1931,"5.7160","6.9280","5.7060","5.7470",0.54%,"5.7382"
12/31/1932,"5.7470","5.7470","5.7310","5.7410",-0.10%,"5.7418"
12/30/1933,"5.7410","5.7410","3.4190","3.5970",-37.35%,"4.6773"
12/31/1934,"3.5690","3.6320","3.3170","3.3700",-6.31%,"3.3823"
12/31/1935,"3.3700","3.4090","3.3260","3.3740",0.12%,"3.3781"
12/31/1936,"3.3750","5.0660","3.3460","5.0560",49.85%,"4.3751"
12/31/1937,"5.0530","5.0760","5.0300","5.0400",-0.32%,"5.0602"
12/31/1938,"5.0400","5.1020","5.0350","5.0890",0.97%,"5.0690"
12/30/1939,"5.0860","6.4390","5.0710","6.4390",26.53%,"5.3235"
12/31/1940,"6.4390","8.2570","5.1620","7.5590",17.39%,"6.0645"
12/31/1941,"5.0100","5.0120","4.1290","4.1290",-45.38%,"4.7819"
12/31/1942,"4.1250","4.1250","4.1250","4.1250",-0.10%,"4.1250"
12/31/1943,"4.1250","4.1250","4.1150","4.1150",-0.24%,"4.1225"
11/30/1944,"4.1150","4.1150","4.1150","4.1150",0.00%,"4.1150"
12/31/1945,"1,320.0000","290,000.0000","1,320.0000","290,000.0000",7047287.61%,"71,621.6667"
12/31/1946,"795,000.0000","4,599,999,859,091,570,688.0000","11.7400","11.7400",-100.00%,"242,105,586,459,335,392.0000"
12/31/1947,"11.7400","11.7400","11.7400","11.7400",0.00%,"11.7400"
12/31/1948,"11.7400","11.7400","11.7400","11.7400",0.00%,"11.7400"
12/31/1949,"11.7400","11.7400","11.7400","11.7400",0.00%,"11.7400"
12/31/1950,"11.7400","11.7400","11.7400","11.7400",0.00%,"11.7400"
12/31/1951,"11.7400","11.7400","11.7400","11.7400",0.00%,"11.7400"
12/31/1952,"11.7400","11.7400","11.7400","11.7400",0.00%,"11.7400"
