Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1918,__ISK_D,3.2,3.8108,3.1681,3.8108,3.330816667
12/31/1919,__ISK_D,3.8104,4.7634,3.8104,4.7634,4.118341667
12/31/1920,__ISK_D,4.9374,5.371,4.5976,5.1998,4.976141667
12/31/1921,__ISK_D,4.8529,4.9997,4.3694,4.3694,4.721
12/31/1922,__ISK_D,4.2984,4.2984,3.9393,3.9393,4.102
12/31/1923,__ISK_D,3.9014,4.1649,3.8672,4.1649,3.970116667
12/31/1924,__ISK_D,4.2637,4.2637,3.8671,3.8671,4.114066667
12/31/1925,__ISK_D,3.7977,4.5738,3.7361,4.5671,3.966925
12/31/1926,__ISK_D,4.5596,4.5682,4.5545,4.5658,4.56025
12/31/1927,__ISK_D,4.5645,4.5667,4.5365,4.5365,4.5567
12/31/1928,__ISK_D,4.5432,4.5678,4.537,4.5647,4.551966667
12/31/1929,__ISK_D,4.5671,4.5687,4.5374,4.5374,4.560483333
12/31/1930,__ISK_D,4.5494,4.5609,4.5476,4.5609,4.555683333
12/31/1931,__ISK_D,4.5627,6.5655,4.5529,6.5655,4.964158333
12/31/1932,__ISK_D,6.4554,6.7628,5.9067,6.7557,6.332758333
12/31/1933,__ISK_D,6.5896,6.5896,4.3013,4.3297,5.374908333
12/31/1934,__ISK_D,4.3868,4.4832,4.2982,4.4785,4.397033333
12/31/1935,__ISK_D,4.5272,4.6375,4.4568,4.494,4.519266667
12/31/1936,__ISK_D,4.4632,4.5314,4.3981,4.5133,4.45685
12/31/1937,__ISK_D,4.5135,4.5341,4.4331,4.4331,4.480358333
12/31/1938,__ISK_D,4.4302,4.7428,4.4141,4.7428,4.533108333
12/31/1939,__ISK_D,4.7436,6.49,4.7273,6.49,5.757041667
12/31/1940,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1941,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1942,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1943,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1944,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1945,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1946,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1947,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1948,__ISK_D,6.49,6.49,6.49,6.49,6.49
12/31/1949,__ISK_D,6.5,16.32,6.5,16.32,9.773333333
12/31/1950,__ISK_D,16.32,16.32,16.32,16.32,16.32
12/31/1951,__ISK_D,16.32,16.32,16.32,16.32,16.32
