Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"5.3250","6.6000","5.3250","6.6000", ,"6.0527"
12/30/1916,"6.6100","6.9150","6.2100","6.8600",3.94%,"6.5549"
12/31/1917,"6.8700","8.9900","6.8700","8.3850",22.23%,"7.5140"
12/31/1918,"8.3700","9.2400","6.3750","6.3750",-23.97%,"7.8646"
12/31/1919,"6.3750","13.8450","6.3750","13.2100",107.22%,"8.6679"
12/31/1920,"13.4200","29.9800","13.2600","28.2200",113.63%,"21.1011"
12/31/1921,"29.0500","29.7800","17.6100","22.9000",-18.85%,"23.5689"
12/30/1922,"23.1100","25.9600","18.3400","19.6750",-14.08%,"21.1740"
12/31/1923,"19.5250","23.8300","19.3500","23.1460",17.64%,"21.7846"
12/31/1924,"23.2180","24.3640","22.2360","23.6790",2.30%,"22.9898"
12/31/1925,"23.7310","29.8830","23.5940","24.7850",4.67%,"25.0964"
12/31/1926,"24.7750","31.6050","21.8180","22.1170",-10.76%,"25.7183"
12/31/1927,"22.4070","23.7000","17.2460","18.9260",-14.43%,"19.7075"
12/31/1928,"18.9220","19.1420","18.8740","19.0870",0.85%,"19.0160"
12/31/1929,"19.0860","19.1120","19.0700","19.0920",0.03%,"19.0942"
12/31/1930,"19.0920","19.1100","19.0700","19.0960",0.02%,"19.0890"
12/31/1931,"19.0970","19.8750","19.0870","19.5960",2.62%,"19.1660"
12/31/1932,"19.5810","19.7250","19.0900","19.5200",-0.39%,"19.4655"
12/30/1933,"19.5200","19.5500","11.2800","12.2600",-37.19%,"15.7036"
12/31/1934,"12.0000","12.2000","11.4500","11.7100",-4.49%,"11.6877"
12/31/1935,"11.7100","12.4900","11.6400","12.4550",6.36%,"12.1230"
12/31/1936,"12.4550","19.0000","12.3900","19.0000",52.55%,"14.1736"
12/31/1937,"19.0000","19.0000","19.0000","19.0000",0.00%,"19.0000"
12/31/1938,"19.0000","19.0000","19.0000","19.0000",0.00%,"19.0000"
12/30/1939,"19.0000","19.8000","19.0000","19.8000",4.21%,"19.2316"
12/31/1940,"19.8000","19.8000","19.8000","19.8000",0.00%,"19.8000"
12/31/1941,"19.8000","19.8000","19.0000","19.0000",-4.04%,"19.3236"
12/31/1942,"19.0000","19.0100","19.0000","19.0000",0.00%,"19.0026"
12/31/1943,"19.0000","100.0000","19.0000","100.0000",426.32%,"30.2669"
12/30/1944,"100.0000","100.0000","100.0000","100.0000",0.00%,"100.0000"
12/31/1945,"100.0000","100.0000","100.0000","100.0000",0.00%,"100.0000"
12/31/1946,"100.0000","225.0000","100.0000","225.0000",125.00%,"212.5402"
12/31/1947,"225.0000","603.0000","225.0000","603.0000",168.00%,"296.9829"
12/31/1948,"576.0000","576.0000","573.0000","575.0000",-4.64%,"574.6731"
12/31/1949,"575.0000","636.5000","575.0000","624.6200",8.63%,"588.9559"
12/30/1950,"624.5000","624.8500","624.1900","624.8300",0.03%,"624.7827"
12/31/1951,"624.8300","624.9300","624.8200","624.9100",0.01%,"624.8771"
12/31/1952,"624.9200","624.9400","624.8700","624.9000",-0.00%,"624.9079"
