Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"2.0400","2.0800","2.0100","2.0100", ,"2.0458"
12/30/1916,"2.0100","2.0100","1.9850","1.9850",-1.24%,"1.9988"
12/31/1917,"1.9850","1.9850","1.9650","1.9650",-1.01%,"1.9782"
12/31/1918,"1.9650","1.9650","1.9180","1.9180",-2.39%,"1.9476"
12/31/1919,"1.9180","2.0050","1.9180","2.0050",4.54%,"1.9739"
12/31/1920,"2.0050","2.1280","1.9230","1.9900",-0.75%,"1.9905"
12/31/1921,"1.9900","2.0830","1.9900","2.0730",4.17%,"2.0614"
12/30/1922,"2.0730","2.1220","2.0460","2.0460",-1.30%,"2.0838"
12/31/1923,"2.0460","2.1620","2.0200","2.1620",5.67%,"2.0494"
12/31/1924,"2.1390","2.5810","2.1390","2.5810",19.38%,"2.4057"
12/31/1925,"2.5640","2.5970","2.2860","2.2990",-10.93%,"2.4229"
12/31/1926,"2.2990","2.2990","2.0325","2.0408",-11.23%,"2.1191"
12/31/1927,"2.0408","2.1978","2.0279","2.1468",5.19%,"2.1122"
12/31/1928,"2.1468","2.2452","2.0877","2.1825",1.66%,"2.1595"
12/31/1929,"2.1834","2.2910","2.0367","2.0367",-6.68%,"2.1734"
12/31/1930,"2.0367","2.0408","2.0101","2.0182",-0.91%,"2.0245"
12/31/1931,"2.0202","2.8520","2.0161","2.8520",41.31%,"2.0521"
12/31/1932,"2.8780","5.0150","2.6570","4.8780",71.04%,"3.6998"
12/30/1933,"4.8660","4.9530","3.1600","3.2440",-33.50%,"3.9958"
12/31/1934,"3.2260","3.5210","3.2260","3.4810",7.31%,"3.3676"
12/31/1935,"3.4760","3.5980","3.3990","3.4760",-0.14%,"3.4840"
12/31/1936,"3.4760","3.5450","3.3760","3.5450",1.99%,"3.4466"
12/31/1937,"3.5400","3.5400","3.4200","3.4410",-2.93%,"3.4736"
12/31/1938,"3.4340","3.7090","3.4280","3.7000",7.53%,"3.5176"
12/30/1939,"3.7110","4.3120","3.6580","4.2640",15.24%,"3.8686"
12/31/1940,"4.2770","4.3370","4.2460","4.3090",1.06%,"4.2974"
12/31/1941,"4.3090","4.3100","4.3050","4.3050",-0.09%,"4.3071"
12/31/1942,"4.3000","4.3000","4.3000","4.3000",-0.12%,"4.3000"
12/31/1943,"4.3000","4.3000","4.2900","4.2900",-0.23%,"4.2975"
12/30/1944,"4.2900","4.2900","4.2900","4.2900",0.00%,"4.2900"
12/31/1945,"4.2670","15.0000","4.2670","15.0000",249.65%,"7.1314"
12/31/1946,"15.0000","15.0000","15.0000","15.0000",0.00%,"15.0000"
12/31/1947,"15.0000","50.0000","15.0000","50.0000",233.33%,"23.2727"
12/31/1948,"50.0000","270.0000","50.0000","270.0000",440.00%,"160.0000"
12/31/1949,"270.0000","360.0000","270.0000","360.0000",33.33%,"358.0645"
12/30/1950,"360.0000","360.0000","360.0000","360.0000",0.00%,"360.0000"
12/31/1951,"360.0000","360.0000","360.0000","360.0000",0.00%,"360.0000"
12/31/1952,"360.0000","360.0000","360.0000","360.0000",0.00%,"360.0000"
