Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1918,__KES_D,2.964,2.964,2.8,2.8,2.856769231
12/31/1919,__KES_D,2.8,2.911,2.243,2.243,2.615596154
12/31/1920,__KES_D,2.275,6.004,2.041,5.674,3.991937269
12/31/1921,__KES_D,5.666,5.666,4.755,4.755,5.220427653
12/31/1922,__KES_D,4.762,4.796,4.303,4.317,4.526277419
12/31/1923,__KES_D,4.314,4.695,4.242,4.631,4.380857605
12/31/1924,__KES_D,4.681,4.758,4.228,4.235,4.538625
12/31/1925,__KES_D,4.216,4.218,4.115,4.125,4.14576129
12/31/1926,__KES_D,4.126,4.132,4.11,4.125,4.120048232
12/31/1927,__KES_D,4.125,4.128,4.098,4.102,4.11802589
12/31/1928,__KES_D,4.101,4.13,4.099,4.125,4.113678457
12/31/1929,__KES_D,4.126,4.132,4.1,4.103,4.122215434
12/31/1930,__KES_D,4.104,4.122,4.104,4.122,4.115871383
12/31/1931,__KES_D,4.121,6.187,4.108,5.922,4.499623794
12/31/1932,__KES_D,5.895,6.361,5.27,6.011,5.727106109
12/31/1933,__KES_D,5.997,6.037,3.712,3.906,4.870348387
12/31/1934,__KES_D,3.887,4.107,3.867,4.052,3.973848875
12/31/1935,__KES_D,4.051,4.234,4.015,4.057,4.083680645
12/31/1936,__KES_D,4.058,4.105,3.947,4.074,4.025974277
12/31/1937,__KES_D,4.074,4.102,3.988,4.003,4.047032154
12/31/1938,__KES_D,3.999,4.348,3.973,4.314,4.096691318
12/31/1939,__KES_D,4.327,5.369,4.258,5.058,4.54306129
12/31/1940,__KES_D,5.065,6.678,4.95,4.957,5.270541667
12/31/1941,__KES_D,4.957,4.997,4.957,4.96,4.962405229
12/31/1942,__KES_D,4.96,4.96,4.96,4.96,4.96
12/31/1943,__KES_D,4.96,4.975,4.96,4.975,4.972629032
12/31/1944,__KES_D,4.975,4.975,4.975,4.975,4.975
12/31/1945,__KES_D,4.975,4.975,4.964,4.969,4.972051447
12/31/1946,__KES_D,4.969,4.969,4.969,4.969,4.969
12/31/1947,__KES_D,4.969,4.974,4.953,4.959,4.964829032
12/31/1948,__KES_D,4.961,4.966,4.959,4.96,4.960209003
12/31/1949,__KES_D,4.96,7.143,4.96,7.141,5.587593548
12/31/1950,__KES_D,7.141,7.144,7.138,7.14,7.140607717
12/31/1951,__KES_D,7.14,7.191,7.138,7.191,7.141938907
