Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1923,__LTL_D,9.9502,9.9602,9.9502,9.9602,9.9552
12/31/1924,__LTL_D,9.9502,9.9701,9.8814,9.8814,9.922366667
12/31/1925,__LTL_D,9.8522,9.901,9.8425,9.8912,9.877366667
12/31/1926,__LTL_D,9.891,9.921,9.891,9.911,9.896833333
12/31/1927,__LTL_D,9.891,9.945,9.891,9.945,9.9245
12/31/1928,__LTL_D,10,10,10,10,10
12/31/1929,__LTL_D,10,10,10,10,10
12/31/1930,__LTL_D,10,10,10,10,10
12/31/1931,__LTL_D,10,10.1,10,10,10.00833333
12/31/1932,__LTL_D,10,10.1,10,10,10.01666667
12/31/1933,__LTL_D,10.02,16.0544,10.02,15.6984,12.787925
12/31/1934,__LTL_D,15.9176,17.0017,15.9176,16.8519,16.76504167
12/31/1935,__LTL_D,16.8235,16.9036,16.8067,16.8182,16.83986667
12/31/1936,__LTL_D,16.8697,16.9795,15.6514,16.819,16.753475
12/31/1937,__LTL_D,16.819,16.8866,16.802,16.8697,16.82744167
12/31/1938,__LTL_D,16.8359,16.9205,16.7851,16.7851,16.816125
12/31/1939,__LTL_D,16.7851,16.7851,16.4805,16.6836,16.683575
12/31/1940,__LTL_D,16.6836,16.6836,5.3,5.3,14.78633333
12/31/1941,__LTL_D,5.3,5.3,2.4957,2.4957,3.898075
12/31/1942,__LTL_D,2.4928,2.4928,2.4925,2.4925,2.49265
12/31/1943,__LTL_D,2.4925,2.4928,2.487,2.487,2.491175
12/31/1944,__LTL_D,5.3,5.3,5.3,5.3,5.3
12/31/1945,__LTL_D,5.3,5.3,5.3,5.3,5.3
12/31/1946,__LTL_D,5.3,5.3,5.3,5.3,5.3
12/31/1947,__LTL_D,5.3,5.3,5.3,5.3,5.3
12/31/1948,__LTL_D,5.3,5.3,5.3,5.3,5.3
12/31/1949,__LTL_D,5.3,5.3,5.3,5.3,5.3
12/31/1950,__LTL_D,5.3,5.3,4,4,4.108333333
12/31/1951,__LTL_D,4,4,4,4,4
