Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1918,__MTL_D,0.2099,0.2099,0.2098,0.2098,0.209858333
12/31/1919,__MTL_D,0.2098,0.2623,0.2098,0.2623,0.226783333
12/31/1920,__MTL_D,0.2719,0.2958,0.2532,0.2863,0.274025
12/31/1921,__MTL_D,0.2672,0.2753,0.2406,0.2406,0.259966667
12/31/1922,__MTL_D,0.2367,0.2367,0.2169,0.2169,0.225875
12/31/1923,__MTL_D,0.2148,0.2293,0.213,0.2293,0.218633333
12/31/1924,__MTL_D,0.2348,0.2348,0.2129,0.2129,0.226541667
12/31/1925,__MTL_D,0.2091,0.2095,0.2057,0.2062,0.207108333
12/31/1926,__MTL_D,0.2058,0.2062,0.2056,0.2061,0.205866667
12/31/1927,__MTL_D,0.2061,0.2062,0.2048,0.2048,0.205716667
12/31/1928,__MTL_D,0.2051,0.2062,0.2048,0.2061,0.205491667
12/31/1929,__MTL_D,0.2062,0.2063,0.2048,0.2048,0.205875
12/31/1930,__MTL_D,0.2054,0.2059,0.2053,0.2059,0.205666667
12/31/1931,__MTL_D,0.206,0.2964,0.2055,0.2964,0.224108333
12/31/1932,__MTL_D,0.2914,0.3053,0.2667,0.305,0.285891667
12/31/1933,__MTL_D,0.2975,0.2975,0.1942,0.1955,0.242666667
12/31/1934,__MTL_D,0.198,0.2024,0.194,0.2022,0.198491667
12/31/1935,__MTL_D,0.2044,0.2094,0.2012,0.2029,0.204025
12/31/1936,__MTL_D,0.2015,0.2046,0.1986,0.2038,0.201216667
12/31/1937,__MTL_D,0.2038,0.2047,0.2001,0.2001,0.202266667
12/31/1938,__MTL_D,0.2,0.2141,0.1993,0.2141,0.20465
12/31/1939,__MTL_D,0.2142,0.2548,0.2134,0.2544,0.226758333
12/31/1940,__MTL_D,0.2523,0.3055,0.2478,0.2478,0.261908333
12/31/1941,__MTL_D,0.2479,0.2485,0.2478,0.2478,0.248033333
12/31/1942,__MTL_D,0.2478,0.2478,0.2478,0.2478,0.2478
12/31/1943,__MTL_D,0.2478,0.2478,0.2478,0.2478,0.2478
12/31/1944,__MTL_D,0.2478,0.2478,0.2478,0.2478,0.2478
12/31/1945,__MTL_D,0.2478,0.2485,0.2478,0.2479,0.247966667
12/31/1946,__MTL_D,0.2479,0.2479,0.2479,0.2479,0.2479
12/31/1947,__MTL_D,0.2479,0.2479,0.2479,0.2479,0.2479
12/31/1948,__MTL_D,0.2479,0.2479,0.2479,0.2479,0.2479
12/31/1949,__MTL_D,0.2479,0.3571,0.2479,0.3571,0.2843
12/31/1950,__MTL_D,0.3571,0.3571,0.3571,0.3571,0.3571
12/31/1951,__MTL_D,0.3571,0.3571,0.3571,0.3571,0.3571
