Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"2.4700","2.5437","2.2989","2.3055", ,"2.4793"
12/30/1916,"2.3055","2.4922","2.2222","2.4502",6.28%,"2.3983"
12/31/1917,"2.4502","2.4845","2.1978","2.2989",-6.18%,"2.3950"
12/31/1918,"2.2989","2.4242","1.9139","2.3529",2.35%,"2.1622"
12/31/1919,"2.3560","2.7680","2.3560","2.6850",14.11%,"2.5744"
12/31/1920,"2.6850","3.4130","2.6140","3.1950",18.99%,"2.9408"
12/31/1921,"3.1900","3.2890","2.7100","2.7100",-15.18%,"2.9857"
12/30/1922,"2.7210","2.7500","2.4940","2.5220",-6.94%,"2.5991"
12/31/1923,"2.5340","2.7203","2.5200","2.6387",4.63%,"2.5591"
12/31/1924,"2.6497","2.7203","2.4710","2.4722",-6.31%,"2.6229"
12/31/1925,"2.4710","2.5126","2.4661","2.4866",0.58%,"2.4917"
12/31/1926,"2.4866","2.5031","2.4857","2.4997",0.53%,"2.4951"
12/31/1927,"2.4997","2.5042","2.4734","2.4759",-0.95%,"2.4949"
12/31/1928,"2.4777","2.4969","2.4777","2.4903",0.58%,"2.4883"
12/31/1929,"2.4919","2.5000","2.4786","2.4808",-0.38%,"2.4923"
12/31/1930,"2.4814","2.4972","2.4800","2.4845",0.15%,"2.4875"
12/31/1931,"2.4854","2.5094","2.4615","2.4969",0.50%,"2.4871"
12/31/1932,"2.4950","2.4981","2.4649","2.4891",-0.31%,"2.4837"
12/30/1933,"2.4907","2.4975","1.4984","1.5850",-36.32%,"2.0123"
12/31/1934,"1.5753","1.6038","1.4541","1.4758",-6.89%,"1.4859"
12/31/1935,"1.4745","1.5026","1.4579","1.4721",-0.25%,"1.4778"
12/31/1936,"1.4728","1.9044","1.4543","1.8265",24.07%,"1.5684"
12/31/1937,"1.8265","1.8386","1.7973","1.7974",-1.59%,"1.8169"
12/31/1938,"1.7957","1.8758","1.7811","1.8386",2.29%,"1.8187"
12/30/1939,"1.8392","1.8868","1.8382","1.8800",2.25%,"1.8756"
12/31/1940,"1.8780","1.8850","1.8710","1.8730",-0.37%,"1.8762"
12/31/1941,"1.8730","1.8740","1.8720","1.8720",-0.05%,"1.8725"
12/31/1942,"1.8700","1.8700","1.8700","1.8700",-0.11%,"1.8700"
12/31/1943,"1.8700","1.8700","1.8650","1.8650",-0.27%,"1.8687"
12/30/1944,"1.8650","2.6520","1.8650","2.6520",42.20%,"2.0990"
12/31/1945,"2.6520","2.6520","2.6520","2.6520",0.00%,"2.6520"
12/31/1946,"2.6520","2.6520","2.6520","2.6520",0.00%,"2.6520"
12/31/1947,"2.6520","2.6520","2.6455","2.6483",-0.14%,"2.6488"
12/31/1948,"2.6483","2.6525","2.6438","2.6490",0.03%,"2.6484"
12/31/1949,"2.6490","3.7936","2.6490","3.7936",43.21%,"3.0294"
12/30/1950,"3.8460","4.4103","3.8460","3.8460",1.38%,"3.8460"
12/31/1951,"3.8460","3.8460","3.8460","3.8460",0.00%,"3.8460"
12/31/1952,"3.8460","3.8460","3.7970","3.8020",-1.14%,"3.8082"
