Date,Close,Percentage Change,Average
12/31/1915,"1.0000", ,"1.0000"
12/30/1916,"1.0000",0.00%,"1.0000"
12/31/1917,"1.0000",0.00%,"1.0000"
12/31/1918,"1.0000",0.00%,"1.0000"
12/31/1919,"1.0000",0.00%,"1.0000"
12/31/1920,"1.0000",0.00%,"1.0000"
12/31/1921,"1.0000",0.00%,"1.0000"
12/30/1922,"1.0000",0.00%,"1.0000"
12/31/1923,"1.0000",0.00%,"1.0000"
12/31/1924,"1.0000",0.00%,"1.0000"
12/31/1925,"1.0000",0.00%,"1.0000"
12/31/1926,"1.0000",0.00%,"1.0000"
12/31/1927,"1.0000",0.00%,"1.0000"
12/31/1928,"1.0000",0.00%,"1.0000"
12/31/1929,"1.0000",0.00%,"1.0000"
12/31/1930,"1.0000",0.00%,"1.0000"
12/31/1931,"1.0000",0.00%,"1.0000"
12/31/1932,"1.0000",0.00%,"1.0000"
12/30/1933,"1.0000",0.00%,"1.0000"
12/31/1934,"1.1000",10.00%,"1.0132"
12/31/1935,"1.1000",0.00%,"1.1000"
12/31/1936,"1.1000",0.00%,"1.1000"
12/31/1937,"4.0000",263.64%,"1.4492"
12/31/1938,"5.0000",25.00%,"4.5756"
12/30/1939,"5.0000",0.00%,"5.0000"
12/31/1940,"5.0000",0.00%,"5.0000"
12/31/1941,"5.0000",0.00%,"5.0000"
12/31/1942,"5.0000",0.00%,"5.0000"
12/31/1943,"5.0000",0.00%,"5.0000"
12/30/1944,"5.0000",0.00%,"5.0000"
12/31/1945,"5.0000",0.00%,"5.0000"
12/31/1946,"5.0000",0.00%,"5.0000"
12/31/1947,"5.0000",0.00%,"5.0000"
12/31/1948,"5.0000",0.00%,"5.0000"
12/31/1949,"5.2900",5.80%,"5.2900"
12/30/1950,"7.0000",32.33%,"6.6774"
12/31/1951,"7.1170",1.67%,"7.0954"
12/31/1952,"7.3000",2.57%,"7.2671"
