Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"35.0656","35.0656","33.6688","34.6000", ,"34.5980"
12/31/1916,"34.7312","36.3632","34.3056","36.3632",5.10%,"35.0867"
12/31/1917,"36.6176","38.6832","35.3056","38.6832",6.38%,"36.2032"
12/31/1918,"37.9568","37.9568","36.2912","37.2400",-3.73%,"37.0155"
12/31/1919,"37.0288","37.1456","35.0656","35.8256",-3.80%,"36.1088"
12/31/1920,"35.7200","49.0400","35.7200","49.0400",36.89%,"41.2967"
12/31/1921,"48.1280","56.4000","44.5920","47.9360",-2.25%,"49.8877"
12/30/1922,"47.9360","48.1280","41.9360","42.4480",-11.45%,"44.2798"
12/31/1923,"42.2400","61.2188","42.2240","58.8187",38.57%,"53.0952"
12/31/1924,"58.8187","59.0625","46.7062","46.8750",-20.31%,"54.6611"
12/31/1925,"46.6125","49.9688","44.8688","45.3375",-3.28%,"46.6317"
12/31/1926,"45.3375","48.7125","45.1688","45.3375",0.00%,"46.2536"
12/31/1927,"45.3000","45.5062","43.8000","43.8750",-3.23%,"44.3015"
12/31/1928,"43.8750","44.7938","43.8750","44.5313",1.50%,"44.2275"
12/31/1929,"44.5313","46.8750","44.5313","45.5250",2.23%,"44.8419"
12/31/1930,"45.8063","60.4313","45.8063","59.6625",31.05%,"51.3532"
12/31/1931,"59.6437","85.2188","54.0563","72.9563",22.28%,"65.1592"
12/31/1932,"72.8063","75.1875","72.8063","72.9938",0.05%,"74.1353"
12/30/1933,"72.9938","73.8187","43.6500","56.0625",-23.20%,"60.2142"
12/31/1934,"55.6125","57.4500","54.3000","57.0187",1.71%,"55.8704"
12/31/1935,"57.0187","76.6750","56.4938","76.1500",33.55%,"64.5276"
12/31/1936,"76.1500","189.2970","75.0000","187.8825",146.73%,"171.9271"
12/31/1937,"187.8825","189.2355","183.8850","184.6230",-1.73%,"186.6555"
12/31/1938,"184.4385","199.5675","183.2700","198.7065",7.63%,"188.9047"
12/30/1939,"199.4445","236.1846","196.6155","235.0099",18.27%,"206.0822"
12/31/1940,"235.0099","257.3652","226.5783","233.8537",-0.49%,"235.7226"
12/31/1941,"233.8537","337.1483","232.1317","329.6927",40.98%,"296.0413"
12/31/1942,"329.7857","329.7857","323.4540","327.9723",-0.52%,"327.2475"
12/31/1943,"329.0883","329.0883","3.0900","3.0900",-99.06%,"239.6569"
12/30/1944,"3.0900","3.0900","3.0900","3.0900",0.00%,"3.0900"
12/31/1945,"3.0900","3.0900","3.0900","3.0900",0.00%,"3.0900"
12/31/1946,"3.0900","3.0900","3.0900","3.0900",0.00%,"3.0900"
12/31/1947,"3.0900","3.0900","3.0900","3.0900",0.00%,"3.0900"
12/31/1948,"3.0900","3.0900","3.0900","3.0900",0.00%,"3.0900"
12/31/1949,"3.0900","7.9900","3.0900","4.9500",60.19%,"3.3729"
12/30/1950,"6.0500","7.9900","3.0900","6.0500",22.22%,"5.7458"
12/31/1951,"6.0500","19.0000","3.0900","9.0000",48.76%,"8.4736"
12/31/1952,"9.0000","49.0000","6.0000","15.0000",66.67%,"11.5000"
