Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"2.3256","3.3333","2.2284","3.3333", ,"2.6607"
12/30/1916,"3.3613","3.4130","2.9630","3.3167",-0.50%,"3.2420"
12/31/1917,"3.3333","8.3333","3.3333","7.6923",131.93%,"4.9329"
12/31/1918,"7.6923","62.9000","7.5472","62.9000",717.70%,"12.5582"
12/31/1919,"83.9000","1,311.5000","83.9000","1,311.5000",1985.06%,"438.6917"
12/31/1920,"1,631.4000","6,000.0000","117.5000","167.5000",-87.23%,"637.4833"
12/31/1921,"167.5000","1,650.0000","155.0000","1,050.0000",526.87%,"638.2848"
12/31/1922,"1,050.0000","1,100.0000","5.0870","19.6500",-98.13%,"667.1439"
12/31/1923,"19.6500","2,825.0000","3.8510","2,825.0000",14276.59%,"512.0167"
12/31/1924,"2,825.0000","81,300.0000","4.6080","5.1600",-99.82%,"762.3419"
12/31/1925,"5.1600","5.1600","5.1300","5.1500",-0.19%,"5.1521"
12/31/1926,"5.1500","5.1500","5.1500","5.1500",0.00%,"5.1500"
12/31/1927,"5.1500","5.1500","5.1500","5.1500",0.00%,"5.1500"
12/31/1928,"1.9434","1.9434","1.9434","1.9434",-62.26%,"1.9434"
12/31/1929,"1.9434","1.9434","1.9434","1.9434",0.00%,"1.9434"
12/31/1930,"1.9434","1.9434","1.9434","1.9434",0.00%,"1.9434"
12/31/1931,"1.9434","1.9434","1.9434","1.9434",0.00%,"1.9434"
12/31/1932,"1.9434","1.9434","1.9434","1.9434",0.00%,"1.9434"
12/31/1933,"1.9434","1.9434","1.9434","1.9434",0.00%,"1.9434"
12/31/1934,"5.3667","5.3667","4.9967","5.0527",159.99%,"5.0766"
12/31/1935,"5.0643","5.0643","5.0307","5.0513",-0.03%,"5.0498"
12/31/1936,"5.0313","5.0637","4.9893","5.0405",-0.21%,"5.0447"
12/31/1937,"5.0416","5.3000","5.0416","5.3000",5.15%,"5.2319"
12/31/1938,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1939,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1940,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1941,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1942,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1943,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1944,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1945,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1946,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1947,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1948,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1949,"5.3000","5.3000","5.3000","5.3000",0.00%,"5.3000"
12/31/1950,"5.3000","5.3000","4.0000","4.0000",-24.53%,"4.1083"
12/31/1951,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
12/31/1952,"4.0000","4.0000","4.0000","4.0000",0.00%,"4.0000"
