Date,Open,High,Low,Close,Percentage Change,Average
12/31/1915,"1.0358","1.1850","1.0358","1.1686", ,"1.1136"
12/31/1916,"1.1692","1.1950","1.1670","1.1676",-0.09%,"1.1771"
12/31/1917,"1.1668","1.1676","1.1420","1.1428",-2.12%,"1.1529"
12/31/1918,"1.1406","1.1420","1.0884","1.0898",-4.64%,"1.1228"
12/31/1919,"1.0900","2.0000","1.0900","2.0000",83.52%,"1.5008"
12/31/1920,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1921,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1922,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1923,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1924,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1925,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1926,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1927,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1928,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1929,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1930,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1931,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1932,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1933,"2.0000","2.0000","2.0000","2.0000",0.00%,"2.0000"
12/31/1934,"2.0000","2.5000","2.0000","2.5000",25.00%,"2.4781"
12/31/1935,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1936,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1937,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1938,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/30/1939,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1940,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1941,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1942,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1943,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/30/1944,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1945,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1946,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1947,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1948,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1949,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1950,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1951,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
12/31/1952,"2.5000","2.5000","2.5000","2.5000",0.00%,"2.5000"
