Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1918,__SRD_D,2.2752,2.3724,1.9237,2.3449,2.1406
12/31/1919,__SRD_D,2.3637,2.6867,2.3637,2.6419,2.556091667
12/31/1920,__SRD_D,2.6455,3.3128,2.6455,3.2308,2.926591667
12/31/1921,__SRD_D,3.0414,3.2258,2.754,2.754,2.975
12/31/1922,__SRD_D,2.7265,2.7265,2.5102,2.5102,2.5991
12/31/1923,__SRD_D,2.5275,2.677,2.5275,2.677,2.562208333
12/31/1924,__SRD_D,2.7564,2.7715,2.4988,2.4988,2.686008333
12/31/1925,__SRD_D,2.4697,2.4938,2.4316,2.457,2.458525
12/31/1926,__SRD_D,2.454,2.4845,2.454,2.4845,2.474008333
12/31/1927,__SRD_D,2.4854,2.5,2.477,2.477,2.490808333
12/31/1928,__SRD_D,2.4631,2.5,2.4631,2.4938,2.4866
12/31/1929,__SRD_D,2.4938,2.5063,2.4814,2.4814,2.4964
12/31/1930,__SRD_D,2.4876,2.4938,2.4814,2.4814,2.48605
12/31/1931,__SRD_D,2.4876,2.4938,2.4691,2.4876,2.486058333
12/31/1932,__SRD_D,2.4814,2.4869,2.4752,2.4869,2.479275
12/31/1933,__SRD_D,2.4826,2.4826,1.5428,1.5803,1.996308333
12/31/1934,__SRD_D,1.5924,1.5924,1.4511,1.4717,1.479258333
12/31/1935,__SRD_D,1.4742,1.4791,1.4599,1.4599,1.469108333
12/31/1936,__SRD_D,1.4447,1.8539,1.4447,1.8217,1.558025
12/31/1937,__SRD_D,1.8172,1.8195,1.7951,1.7951,1.810183333
12/31/1938,__SRD_D,1.7907,1.8492,1.7842,1.8354,1.814683333
12/31/1939,__SRD_D,1.84,1.8776,1.84,1.8704,1.864941667
12/31/1940,__SRD_D,1.8633,1.8846,1.8,1.8835,1.838691667
12/31/1941,__SRD_D,1.8839,1.8883,1.8835,1.8835,1.885
12/31/1942,__SRD_D,1.8835,1.8836,1.8835,1.8835,1.883508333
12/31/1943,__SRD_D,1.8835,1.8835,1.8835,1.8835,1.8835
12/31/1944,__SRD_D,1.8835,1.8835,1.8835,1.8835,1.8835
12/31/1945,__SRD_D,1.8835,1.8883,1.8835,1.8841,1.884633333
12/31/1946,__SRD_D,1.885,1.885,1.885,1.885,1.885
12/31/1947,__SRD_D,1.885,1.885,1.885,1.885,1.885
12/31/1948,__SRD_D,1.885,1.885,1.885,1.885,1.885
12/31/1949,__SRD_D,1.885,1.885,1.885,1.885,1.885
12/31/1950,__SRD_D,1.885,1.885,1.885,1.885,1.885
12/31/1951,__SRD_D,1.885,1.885,1.885,1.885,1.885
