Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1918,__TTD_D,1.0075,1.0075,1.007,1.0073,1.00735
12/31/1919,__TTD_D,1.0072,1.2591,1.0072,1.2591,1.088575
12/31/1920,__TTD_D,1.3051,1.4197,1.2153,1.3744,1.315316667
12/31/1921,__TTD_D,1.2828,1.3215,1.1549,1.1549,1.247875
12/31/1922,__TTD_D,1.1362,1.1362,1.0413,1.0413,1.084258333
12/31/1923,__TTD_D,1.0312,1.1009,1.0222,1.1009,1.049408333
12/31/1924,__TTD_D,1.127,1.127,1.0222,1.0222,1.087458333
12/31/1925,__TTD_D,1.0038,1.0058,0.9876,0.9897,0.994141667
12/31/1926,__TTD_D,0.9881,0.99,0.987,0.9894,0.988225
12/31/1927,__TTD_D,0.9891,0.9896,0.9831,0.9831,0.987458333
12/31/1928,__TTD_D,0.9845,0.9899,0.9832,0.9892,0.986433333
12/31/1929,__TTD_D,0.9897,0.99,0.9833,0.9833,0.988266667
12/31/1930,__TTD_D,0.9859,0.9884,0.9855,0.9884,0.987233333
12/31/1931,__TTD_D,0.9888,1.4228,0.9866,1.4228,1.075758333
12/31/1932,__TTD_D,1.3989,1.4655,1.28,1.464,1.372333333
12/31/1933,__TTD_D,1.428,1.428,0.9321,0.9383,1.164758333
12/31/1934,__TTD_D,0.9506,0.9715,0.9314,0.9705,0.952858333
12/31/1935,__TTD_D,0.9811,1.005,0.9658,0.9739,0.979341667
12/31/1936,__TTD_D,0.9672,0.982,0.9531,0.978,0.965825
12/31/1937,__TTD_D,0.9781,0.9826,0.9607,0.9607,0.970916667
12/31/1938,__TTD_D,0.96,1.0278,0.9565,1.0278,0.982333333
12/31/1939,__TTD_D,1.028,1.223,1.0244,1.2214,1.088508333
12/31/1940,__TTD_D,1.2109,1.4663,1.1894,1.1896,1.2572
12/31/1941,__TTD_D,1.1898,1.1926,1.1896,1.1896,1.190525
12/31/1942,__TTD_D,1.1896,1.1896,1.1896,1.1896,1.1896
12/31/1943,__TTD_D,1.1896,1.1896,1.1896,1.1896,1.1896
12/31/1944,__TTD_D,1.1896,1.1896,1.1896,1.1896,1.1896
12/31/1945,__TTD_D,1.1896,1.1926,1.1896,1.19,1.190316667
12/31/1946,__TTD_D,1.1911,1.1911,1.1911,1.1911,1.1911
12/31/1947,__TTD_D,1.1911,1.1911,1.1911,1.1911,1.1911
12/31/1948,__TTD_D,1.1911,1.1911,1.1911,1.1911,1.1911
12/31/1949,__TTD_D,1.1911,1.7143,1.1911,1.7143,1.3655
12/31/1950,__TTD_D,1.7143,1.7143,1.7143,1.7143,1.7143
12/31/1951,__TTD_D,1.7143,1.7143,1.7143,1.7143,1.7143
