Date,Ticker,Open,High,Low,Close,Period_Average
12/31/1917,__TND_D,5.834,5.838,5.71,5.714,5.764666667
12/31/1918,__TND_D,5.703,5.71,5.442,5.449,5.614
12/31/1919,__TND_D,5.45,10.82,5.45,10.82,7.282666667
12/31/1920,__TND_D,11.799,16.892,11.799,16.892,14.41925
12/31/1921,__TND_D,15.545,15.545,11.949,12.748,13.47483333
12/31/1922,__TND_D,12.249,14.581,10.836,13.832,12.31383333
12/31/1923,__TND_D,14.977,19.049,14.977,19.049,16.56166667
12/31/1924,__TND_D,21.436,22.629,16.241,18.522,19.27266667
12/31/1925,__TND_D,18.545,26.768,18.545,26.768,21.23275
12/31/1926,__TND_D,26.52,40.555,25.322,25.322,31.364
12/31/1927,__TND_D,25.263,25.568,25.263,25.383,25.48375
12/31/1928,__TND_D,25.44,25.602,25.405,25.575,25.50441667
12/31/1929,__TND_D,25.589,25.602,25.387,25.387,25.53491667
12/31/1930,__TND_D,25.452,25.556,25.419,25.452,25.47883333
12/31/1931,__TND_D,25.504,25.575,25.394,25.491,25.50966667
12/31/1932,__TND_D,25.452,25.621,25.336,25.621,25.46075
12/31/1933,__TND_D,25.621,25.621,15.954,16.335,20.59391667
12/31/1934,__TND_D,16.1,16.1,14.99,15.158,15.22983333
12/31/1935,__TND_D,15.193,15.193,15.092,15.154,15.1495
12/31/1936,__TND_D,15.094,21.519,14.968,21.422,16.71291667
12/31/1937,__TND_D,21.427,29.86,21.427,29.455,25.15116667
12/31/1938,__TND_D,29.985,37.994,29.985,37.994,34.96325
12/31/1939,__TND_D,37.922,44.944,37.75,44.903,40.05775
12/31/1940,__TND_D,44.524,53.996,43.616,49.189,47.11008333
12/31/1941,__TND_D,50.934,56.401,43.969,44.937,47.08383333
12/31/1942,__TND_D,44.932,129.831,44.909,129.831,52.53275
12/31/1943,__TND_D,125.109,125.109,50,50,73.87091667
12/31/1944,__TND_D,50,55.355,50,55.355,50.44625
12/31/1945,__TND_D,54.146,55.191,49.595,55.191,51.6735
12/31/1946,__TND_D,119.3,119.3,119.3,119.3,119.3
12/31/1947,__TND_D,119.3,119.3,119.3,119.3,119.3
12/31/1948,__TND_D,119.3,214.34,119.3,214.34,206.42
12/31/1949,__TND_D,214.34,349.5,214.34,349.5,259.3933333
12/31/1950,__TND_D,349.5,349.5,349.5,349.5,349.5
12/31/1951,__TND_D,349.5,349.5,349.5,349.5,349.5
