Date,Close,Percentage Change,Average
12/31/1915,"1.0999", ,"1.0823"
12/31/1916,"1.0993",-0.05%,"1.0912"
12/31/1917,"1.2593",14.55%,"1.1427"
12/31/1918,"1.2460",-1.06%,"1.2686"
12/31/1919,"1.7295",38.80%,"1.3481"
12/31/1920,"1.5069",-12.87%,"1.6526"
12/31/1921,"1.3841",-8.15%,"1.5115"
12/30/1922,"1.1713",-15.37%,"1.2536"
12/31/1923,"1.2780",9.11%,"1.2603"
12/31/1924,"1.0020",-21.60%,"1.2169"
12/31/1925,"0.9730",-2.89%,"1.0141"
12/31/1926,"0.9800",0.72%,"0.9858"
12/31/1927,"1.0288",4.98%,"1.0015"
12/31/1928,"0.9739",-5.34%,"0.9777"
12/31/1929,"1.0530",8.12%,"1.0157"
12/31/1930,"1.4051",33.44%,"1.1730"
12/31/1931,"2.2346",59.03%,"1.9152"
12/31/1932,"2.1164",-5.29%,"2.1406"
12/30/1933,"1.3293",-37.19%,"1.7443"
12/31/1934,"1.2500",-5.97%,"1.2572"
12/31/1935,"1.2456",-0.35%,"1.2477"
12/31/1936,"1.2706",2.01%,"1.2556"
12/31/1937,"1.2516",-1.50%,"1.2662"
12/31/1938,"1.6375",30.83%,"1.5560"
12/30/1939,"1.5190",-7.24%,"1.6652"
12/31/1940,"1.5190",0.00%,"1.5190"
12/31/1941,"1.9000",25.08%,"1.8913"
12/31/1942,"1.9000",0.00%,"1.9000"
12/31/1943,"1.9000",0.00%,"1.9000"
12/30/1944,"1.9000",0.00%,"1.9000"
12/31/1945,"1.9000",0.00%,"1.9000"
12/31/1946,"1.9000",0.00%,"1.9000"
12/31/1947,"1.9000",0.00%,"1.9000"
12/31/1948,"1.9000",0.00%,"1.9000"
12/31/1949,"1.9000",0.00%,"1.9000"
12/30/1950,"1.9000",0.00%,"1.9000"
12/31/1951,"2.4000",26.32%,"2.2178"
12/31/1952,"2.7425",14.27%,"3.5379"
