Date,Open,High,Low,Close,Percentage Change,Average
12/31/1921,"7.1340","7.1340","5.7100","5.7100", ,"6.0264"
12/30/1922,"5.7100","5.7100","5.2900","5.4800",-4.03%,"5.4345"
12/31/1923,"5.4800","5.4800","5.1600","5.1900",-5.29%,"5.2090"
12/31/1924,"5.1900","5.2600","5.1300","5.1900",0.00%,"5.1976"
12/31/1925,"5.1900","5.2600","5.1300","5.1700",-0.39%,"5.1934"
12/31/1926,"5.1700","5.2600","5.1400","5.2500",1.55%,"5.1920"
12/31/1927,"5.2500","5.3900","5.2200","5.2200",-0.57%,"5.2685"
12/31/1928,"5.2200","5.2800","5.1800","5.2200",0.00%,"5.2157"
12/31/1929,"5.2200","5.2200","5.1700","5.2100",-0.19%,"5.1958"
12/31/1930,"5.2200","5.7000","5.2000","5.7000",9.40%,"5.3430"
12/31/1931,"5.7000","6.4500","5.4000","6.4500",13.16%,"5.9699"
12/31/1932,"6.6700","7.4100","6.0600","6.2500",-3.10%,"6.6574"
12/30/1933,"6.2500","6.4500","4.0000","4.0000",-36.00%,"5.4985"
12/31/1934,"4.0000","4.0000","3.0900","3.6400",-9.00%,"3.4981"
12/31/1935,"3.6400","3.8800","3.6400","3.8800",6.59%,"3.8391"
12/31/1936,"3.8800","4.0000","3.4800","3.9200",1.03%,"3.8910"
12/31/1937,"3.9200","3.9200","3.0500","3.2250",-17.73%,"3.3679"
12/31/1938,"3.2250","3.3330","3.1500","3.1870",-1.18%,"3.1937"
12/30/1939,"3.1750","3.2260","3.1500","3.2260",1.22%,"3.1791"
12/31/1940,"3.2260","4.3010","3.2100","4.3010",33.32%,"3.5650"
12/31/1941,"4.3010","4.3010","3.4480","3.7590",-12.60%,"3.8165"
12/31/1942,"3.7810","3.7810","3.3170","3.3220",-11.63%,"3.4183"
12/31/1943,"3.3220","3.3240","3.3060","3.3060",-0.48%,"3.3187"
12/30/1944,"3.3280","3.3280","3.3280","3.3280",0.67%,"3.3280"
12/31/1945,"3.3280","3.3280","3.3280","3.3280",0.00%,"3.3280"
12/31/1946,"3.3280","3.3280","3.3280","3.3280",0.00%,"3.3280"
12/31/1947,"3.3280","3.3500","3.3280","3.3500",0.66%,"3.3440"
12/31/1948,"3.3500","3.3500","3.3500","3.3500",0.00%,"3.3500"
12/31/1949,"3.3500","3.3500","3.3500","3.3500",0.00%,"3.3500"
12/30/1950,"3.3500","3.3500","3.3500","3.3500",0.00%,"3.3500"
12/31/1951,"3.3500","3.3500","3.3500","3.3500",0.00%,"3.3500"
12/31/1952,"3.3500","3.3500","3.3500","3.3500",0.00%,"3.3500"
