country1,ccode1,year,xr_gfd,xr_gfd_trade
Albania,339,1925,5.1799998,5.1799998
Albania,339,1926,5.1799998,5.1799998
Albania,339,1927,5.1799998,5.1799998
Albania,339,1928,5.1799998,5.1799998
Albania,339,1929,5.2021999,5.2021999
Albania,339,1930,5.1931,5.1931
Albania,339,1931,5.1726999,5.1726999
Albania,339,1932,5.1655002,5.1655002
Albania,339,1933,4.2013998,4.2013998
Albania,339,1934,3.1183,3.1183
Albania,339,1935,3.062,3.062
Albania,339,1936,3.0550001,3.0550001
Albania,339,1937,3.056,3.056
Albania,339,1938,3.0574999,3.0574999
Albania,339,1939,3.0890999,3.0890999
Albania,339,1940,3.1789999,3.1789999
Albania,339,1941,3.0769,3.0769
Albania,339,1942,3.0380001,3.0380001
Albania,339,1943,11.946,11.946
Albania,339,1944,16,16
Albania,339,1945,17.3333,17.3333
Albania,339,1946,25,25
Albania,339,1947,50,50
Albania,339,1948,50,50
Albania,339,1949,50,50
Albania,339,1950,50,50
Albania,339,1951,50,50
Albania,339,1952,50,50
