country1,ccode1,year,xr_gfd,xr_gfd_trade
Argentina,160,1915,2.4475,2.4475
Argentina,160,1916,2.4121001,2.4121001
Argentina,160,1917,2.3411,2.3411
Argentina,160,1918,2.326,2.326
Argentina,160,1919,2.3968999,2.3968999
Argentina,160,1920,2.5778999,2.5778999
Argentina,160,1921,3.118,3.118
Argentina,160,1922,2.7674999,2.7674999
Argentina,160,1923,2.895,2.895
Argentina,160,1924,2.9152999,2.9152999
Argentina,160,1925,2.487,2.487
Argentina,160,1926,2.4669001,2.4669001
Argentina,160,1927,2.3627,2.3627
Argentina,160,1928,2.3587999,2.3587999
Argentina,160,1929,2.3915999,2.3915999
Argentina,160,1930,2.7388,2.7388
Argentina,160,1931,3.4751999,3.4751999
Argentina,160,1932,3.9539001,3.9539001
Argentina,160,1933,3.2114,3.2114
Argentina,160,1934,2.9798,2.9798
Argentina,160,1935,3.0627999,3.0627999
Argentina,160,1936,3.0197999,3.0197999
Argentina,160,1937,3.0350001,3.0350001
Argentina,160,1938,3.0716,3.0716
Argentina,160,1939,3.3508999,3.3508999
Argentina,160,1940,3.8329,3.8329
Argentina,160,1941,3.9361999,3.9361999
Argentina,160,1942,4.2224998,4.2224998
Argentina,160,1943,4.0465002,4.0465002
Argentina,160,1944,4.0103998,4.0103998
Argentina,160,1945,4.0172,4.0172
Argentina,160,1946,4.0668998,4.0668998
Argentina,160,1947,4.0576,4.0576
Argentina,160,1948,4.5029998,4.5029998
Argentina,160,1949,5.2082,5.2082
Argentina,160,1950,8.4195004,8.4195004
Argentina,160,1951,14.1184,14.1184
Argentina,160,1952,14.0169,14.0169
