country1,ccode1,year,xr_gfd,xr_gfd_trade
Australia,900,1915,4.7181001,.21194972
Australia,900,1916,4.7044001,.21256696
Australia,900,1917,4.7210999,.21181504
Australia,900,1918,4.7356,.21116649
Australia,900,1919,4.4033999,.22709724
Australia,900,1920,3.6393001,.2747781
Australia,900,1921,3.8141999,.26217818
Australia,900,1922,4.4432998,.22505796
Australia,900,1923,4.6345,.215773
Australia,900,1924,4.5318999,.220658
Australia,900,1925,4.8990998,.20411913
Australia,900,1926,4.8670001,.20546538
Australia,900,1927,4.8548002,.2059817
Australia,900,1928,4.8431001,.20647931
Australia,900,1929,4.8200998,.20746458
Australia,900,1930,4.5984001,.21746694
Australia,900,1931,3.4335001,.29124799
Australia,900,1932,2.7990999,.35725769
Australia,900,1933,3.3615999,.29747739
Australia,900,1934,4.027,.24832381
Australia,900,1935,3.9186001,.25519317
Australia,900,1936,3.9746001,.25159764
Australia,900,1937,3.9538,.25292125
Australia,900,1938,3.908,.25588536
Australia,900,1939,3.5446,.28211927
Australia,900,1940,3.0522001,.32763252
Australia,900,1941,3.2244,.31013522
Australia,900,1942,3.2260001,.30998141
Australia,900,1943,3.2176001,.31079063
Australia,900,1944,3.2160001,.31094527
Australia,900,1945,3.2179999,.31075203
Australia,900,1946,3.22,.310559
Australia,900,1947,3.2248001,.31009674
Australia,900,1948,3.2219,.31037587
Australia,900,1949,2.9407001,.34005508
Australia,900,1950,2.2306001,.44830984
Australia,900,1951,2.2277,.44889349
Australia,900,1952,2.2261,.44921613
