country1,ccode1,year,xr_gfd,xr_gfd_trade
Austria,305,1915,6.5297,6.5297
Austria,305,1916,8.0138,8.0138
Austria,305,1917,10.1365,10.1365
Austria,305,1918,10.0041,10.0041
Austria,305,1919,54.0152,54.0152
Austria,305,1920,242.4121,242.4121
Austria,305,1921,1137.5203,1137.5203
Austria,305,1922,36242.5323,36242.5323
Austria,305,1923,70467.3484,70467.3484
Austria,305,1924,7.1429,7.1429
Austria,305,1925,7.1429,7.1429
Austria,305,1926,7.1429,7.1429
Austria,305,1927,7.1228,7.1228
Austria,305,1928,7.1042,7.1042
Austria,305,1929,7.1126,7.1126
Austria,305,1930,7.096,7.096
Austria,305,1931,7.1364,7.1364
Austria,305,1932,7.1664,7.1664
Austria,305,1933,6.5443,6.5443
Austria,305,1934,5.3212,5.3212
Austria,305,1935,5.3137,5.3137
Austria,305,1936,5.3232,5.3232
Austria,305,1937,5.3288,5.3288
Austria,305,1938,5.2857,5.2857
Austria,305,1939,5.285,5.285
Austria,305,1940,5.285,5.285
Austria,305,1941,5.285,5.285
Austria,305,1942,5.285,5.285
Austria,305,1943,5.285,5.285
Austria,305,1944,5.285,5.285
Austria,305,1945,8.089700000000001,8.089700000000001
Austria,305,1946,10,10
Austria,305,1947,10,10
Austria,305,1948,10,10
Austria,305,1949,11.627,11.627
Austria,305,1950,30.1278,30.1278
Austria,305,1951,26,26
Austria,305,1952,26,26
