country1,ccode1,year,xr_gfd,xr_gfd_trade
Belgium,211,1915,5.8867998,5.8867998
Belgium,211,1916,7.0903001,7.0903001
Belgium,211,1917,8.3871002,8.3871002
Belgium,211,1918,6.9415998,6.9415998
Belgium,211,1919,7.3888998,7.3888998
Belgium,211,1920,13.8017,13.8017
Belgium,211,1921,13.5602,13.5602
Belgium,211,1922,13.241,13.241
Belgium,211,1923,19.51,19.51
Belgium,211,1924,21.955799,21.955799
Belgium,211,1925,21.154699,21.154699
Belgium,211,1926,32.244801,32.244801
Belgium,211,1927,35.944,35.944
Belgium,211,1928,35.9207,35.9207
Belgium,211,1929,35.955299,35.955299
Belgium,211,1930,35.8722,35.8722
Belgium,211,1931,35.9216,35.9216
Belgium,211,1932,35.948601,35.948601
Belgium,211,1933,29.021999,29.021999
Belgium,211,1934,21.4921,21.4921
Belgium,211,1935,27.6616,27.6616
Belgium,211,1936,29.5646,29.5646
Belgium,211,1937,29.6322,29.6322
Belgium,211,1938,29.6015,29.6015
Belgium,211,1939,29.680201,29.680201
Belgium,211,1940,30.509199,30.509199
Belgium,211,1941,30.9855,30.9855
Belgium,211,1942,30.934999,30.934999
Belgium,211,1943,30.917299,30.917299
Belgium,211,1944,33.9436,33.9436
Belgium,211,1945,43.77,43.77
Belgium,211,1946,43.77,43.77
Belgium,211,1947,43.735699,43.735699
Belgium,211,1948,43.788601,43.788601
Belgium,211,1949,45.4613,45.4613
Belgium,211,1950,50.223999,50.223999
Belgium,211,1951,50.2966,50.2966
Belgium,211,1952,50.349998,50.349998
