country1,ccode1,year,xr_gfd,xr_gfd_trade
"Congo, Dem. Republic",490,1918,1.3883083,1.3883083
"Congo, Dem. Republic",490,1919,1.463925,1.463925
"Congo, Dem. Republic",490,1920,2.7460084,2.7460084
"Congo, Dem. Republic",490,1921,2.6931584,2.6931584
"Congo, Dem. Republic",490,1922,2.6293583,2.6293583
"Congo, Dem. Republic",490,1923,3.8678668,3.8678668
"Congo, Dem. Republic",490,1924,4.3531165,4.3531165
"Congo, Dem. Republic",490,1925,4.2144332,4.2144332
"Congo, Dem. Republic",490,1926,6.3828001,6.3828001
"Congo, Dem. Republic",490,1927,7.1861501,7.1861501
"Congo, Dem. Republic",490,1928,7.1793332,7.1793332
"Congo, Dem. Republic",490,1929,7.1878333,7.1878333
"Congo, Dem. Republic",490,1930,7.1676168,7.1676168
"Congo, Dem. Republic",490,1931,7.1796331,7.1796331
"Congo, Dem. Republic",490,1932,7.1874585,7.1874585
"Congo, Dem. Republic",490,1933,5.7940416,5.7940416
"Congo, Dem. Republic",490,1934,4.2961917,4.2961917
"Congo, Dem. Republic",490,1935,5.5190749,5.5190749
"Congo, Dem. Republic",490,1936,5.9110332,5.9110332
"Congo, Dem. Republic",490,1937,5.9252582,5.9252582
"Congo, Dem. Republic",490,1938,5.9187832,5.9187832
"Congo, Dem. Republic",490,1939,5.9347081,5.9347081
"Congo, Dem. Republic",490,1940,6.0811334,6.0811334
"Congo, Dem. Republic",490,1941,6.1880999,6.1880999
"Congo, Dem. Republic",490,1942,6.1880999,6.1880999
"Congo, Dem. Republic",490,1943,6.1880999,6.1880999
"Congo, Dem. Republic",490,1944,34.189999,34.189999
"Congo, Dem. Republic",490,1945,43.827499,43.827499
"Congo, Dem. Republic",490,1946,43.827499,43.827499
"Congo, Dem. Republic",490,1947,43.827499,43.827499
"Congo, Dem. Republic",490,1948,43.827499,43.827499
"Congo, Dem. Republic",490,1949,45.935001,45.935001
"Congo, Dem. Republic",490,1950,50.150002,50.150002
"Congo, Dem. Republic",490,1951,50.150002,50.150002
