country1,ccode1,year,xr_gfd,xr_gfd_trade
Bolivia,145,1915,2.6280999,2.6280999
Bolivia,145,1916,2.6228001,2.6228001
Bolivia,145,1917,2.6236999,2.6236999
Bolivia,145,1918,2.6231999,2.6231999
Bolivia,145,1919,2.8348,2.8348
Bolivia,145,1920,3.4252999,3.4252999
Bolivia,145,1921,4.414,4.414
Bolivia,145,1922,3.9124999,3.9124999
Bolivia,145,1923,3.1596999,3.1596999
Bolivia,145,1924,3.3743999,3.3743999
Bolivia,145,1925,2.9628999,2.9628999
Bolivia,145,1926,2.9324999,2.9324999
Bolivia,145,1927,2.9056001,2.9056001
Bolivia,145,1928,2.8181,2.8181
Bolivia,145,1929,2.7828,2.7828
Bolivia,145,1930,2.7787001,2.7787001
Bolivia,145,1931,3.0380001,3.0380001
Bolivia,145,1932,4.5451002,4.5451002
Bolivia,145,1933,4.7532001,4.7532001
Bolivia,145,1934,3.9741001,3.9741001
Bolivia,145,1935,4.0840998,4.0840998
Bolivia,145,1936,11.8743,11.8743
Bolivia,145,1937,17.9072,17.9072
Bolivia,145,1938,22.105,22.105
Bolivia,145,1939,29.2311,29.2311
Bolivia,145,1940,33.333,33.333
Bolivia,145,1941,41.668701,41.668701
Bolivia,145,1942,46,46
Bolivia,145,1943,42.451599,42.451599
Bolivia,145,1944,42,42
Bolivia,145,1945,42,42
Bolivia,145,1946,42,42
Bolivia,145,1947,44.700001,1
Bolivia,145,1948,55.5,1
Bolivia,145,1949,55.5,1
Bolivia,145,1950,93.131798,93.131798
Bolivia,145,1951,100,100
Bolivia,145,1952,100,100
