country1,ccode1,year,xr_gfd,xr_gfd_trade
Brazil,140,1915,3.9858,3.9858
Brazil,140,1916,4.1478,4.1478
Brazil,140,1917,3.9112,3.9112
Brazil,140,1918,3.8657999,3.8657999
Brazil,140,1919,3.7535999,3.7535999
Brazil,140,1920,4.8266001,4.8266001
Brazil,140,1921,7.6373,7.6373
Brazil,140,1922,7.6736999,7.6736999
Brazil,140,1923,9.7498999,9.7498999
Brazil,140,1924,9.1156998,9.1156998
Brazil,140,1925,8.2799997,8.2799997
Brazil,140,1926,6.9850001,6.9850001
Brazil,140,1927,8.4694004,8.4694004
Brazil,140,1928,8.3760004,8.3760004
Brazil,140,1929,8.4713001,8.4713001
Brazil,140,1930,9.2972002,9.2972002
Brazil,140,1931,14.5549,14.5549
Brazil,140,1932,14.7726,14.7726
Brazil,140,1933,12.7045,12.7045
Brazil,140,1934,11.8921,11.8921
Brazil,140,1935,12.2071,12.2071
Brazil,140,1936,12.0088,12.0088
Brazil,140,1937,12.3064,12.3064
Brazil,140,1938,17.1733,17.1733
Brazil,140,1939,18.848801,18.848801
Brazil,140,1940,19.914,19.914
Brazil,140,1941,19.7703,19.7703
Brazil,140,1942,19.4389,19.4389
Brazil,140,1943,19.476299,19.476299
Brazil,140,1944,19.3689,19.3689
Brazil,140,1945,19.306,19.306
Brazil,140,1946,18.9708,18.9708
Brazil,140,1947,18.425699,18.425699
Brazil,140,1948,18.379999,18.379999
Brazil,140,1949,18.379999,18.379999
Brazil,140,1950,18.379999,18.379999
Brazil,140,1951,18.379999,18.379999
Brazil,140,1952,18.379999,18.379999
