country1,ccode1,year,xr_gfd,xr_gfd_trade
India,750,1915,3.1677999,3.1677999
India,750,1916,3.1261001,3.1261001
India,750,1917,3.0537,3.0537
India,750,1918,2.8568001,2.8568001
India,750,1919,2.6156001,2.6156001
India,750,1920,2.7728,2.7728
India,750,1921,3.7481999,3.7481999
India,750,1922,3.4198999,3.4198999
India,750,1923,3.1870999,3.1870999
India,750,1924,3.1256001,3.1256001
India,750,1925,2.7326,2.7326
India,750,1926,2.7407,2.7407
India,750,1927,2.7533,2.7533
India,750,1928,2.7455001,2.7455001
India,750,1929,2.7583001,2.7583001
India,750,1930,2.7676001,2.7676001
India,750,1931,3.0042,3.0042
India,750,1932,3.8043001,3.8043001
India,750,1933,3.23,3.23
India,750,1934,2.641,2.641
India,750,1935,2.7054,2.7054
India,750,1936,2.6654999,2.6654999
India,750,1937,2.6793001,2.6793001
India,750,1938,2.7356999,2.7356999
India,750,1939,3.0184,3.0184
India,750,1940,3.3160999,3.3160999
India,750,1941,3.3182001,3.3182001
India,750,1942,3.289,3.289
India,750,1943,3.2950001,3.2950001
India,750,1944,3.2950001,3.2950001
India,750,1945,3.2950001,3.2950001
India,750,1946,3.3018,3.3018
India,750,1947,3.3099,3.3099
India,750,1948,3.3109,3.3109
India,750,1949,3.7156999,3.7156999
India,750,1950,4.7904,4.7904
India,750,1951,4.7918,4.7918
India,750,1952,4.7803001,4.7803001
