country1,ccode1,year,xr_gfd,xr_gfd_trade
Bulgaria,355,1919,28.064899,28.064899
Bulgaria,355,1920,84.926102,84.926102
Bulgaria,355,1921,107.1257,107.1257
Bulgaria,355,1922,148.5081,148.5081
Bulgaria,355,1923,118.705,118.705
Bulgaria,355,1924,135.51511,135.51511
Bulgaria,355,1925,136.1183,136.1183
Bulgaria,355,1926,137.51511,137.51511
Bulgaria,355,1927,137.4492,137.4492
Bulgaria,355,1928,138.6244,138.6244
Bulgaria,355,1929,137.9023,137.9023
Bulgaria,355,1930,137.745,137.745
Bulgaria,355,1931,138.1138,138.1138
Bulgaria,355,1932,139.82401,139.82401
Bulgaria,355,1933,109.9152,109.9152
Bulgaria,355,1934,77.875,77.875
Bulgaria,355,1935,77.187202,77.187202
Bulgaria,355,1936,77.121201,77.121201
Bulgaria,355,1937,77.6651,77.6651
Bulgaria,355,1938,80.621002,80.621002
Bulgaria,355,1939,83.093201,83.093201
Bulgaria,355,1940,80.4757,80.4757
Bulgaria,355,1941,96.041603,96.041603
Bulgaria,355,1942,80.374001,80.374001
Bulgaria,355,1943,80.326797,80.326797
Bulgaria,355,1944,80.186996,80.186996
Bulgaria,355,1945,120,120
Bulgaria,355,1946,286.5,286.5
Bulgaria,355,1947,286.5,286.5
Bulgaria,355,1948,286.5,286.5
Bulgaria,355,1949,286.5,286.5
Bulgaria,355,1950,286.5,286.5
Bulgaria,355,1951,286.5,286.5
Bulgaria,355,1952,100.0333,100.0333
