country1,ccode1,year,xr_gfd,xr_gfd_trade
Canada,20,1915,1.0039999,1.0039999
Canada,20,1916,1.0024,1.0024
Canada,20,1917,1.0019,1.0019
Canada,20,1918,1.0166,1.0166
Canada,20,1919,1.0351,1.0351
Canada,20,1920,1.1094,1.1094
Canada,20,1921,1.1045001,1.1045001
Canada,20,1922,1.0146,1.0146
Canada,20,1923,1.0194,1.0194
Canada,20,1924,1.0123,1.0123
Canada,20,1925,1.0002,1.0002
Canada,20,1926,1,1
Canada,20,1927,1.0002,1.0002
Canada,20,1928,1.001,1.001
Canada,20,1929,1.0075999,1.0075999
Canada,20,1930,1.0016,1.0016
Canada,20,1931,1.0372,1.0372
Canada,20,1932,1.1196001,1.1196001
Canada,20,1933,1.0828,1.0828
Canada,20,1934,.98989999,.98989999
Canada,20,1935,1.0053,1.0053
Canada,20,1936,1.0008,1.0008
Canada,20,1937,1,1
Canada,20,1938,1.006,1.006
Canada,20,1939,1.0403,1.0403
Canada,20,1940,1.1497,1.1497
Canada,20,1941,1.1267999,1.1267999
Canada,20,1942,1.1179,1.1179
Canada,20,1943,1.0989,1.0989
Canada,20,1944,1.0999,1.0999
Canada,20,1945,1.0936,1.0936
Canada,20,1946,1.0674,1.0674
Canada,20,1947,1.0807,1.0807
Canada,20,1948,1.0839,1.0839
Canada,20,1949,1.0718,1.0718
Canada,20,1950,1.085,1.085
Canada,20,1951,1.0525,1.0525
Canada,20,1952,.97869998,.97869998
