country1,ccode1,year,xr_gfd,xr_gfd_trade
Sri Lanka,780,1915,3.0441,3.0441
Sri Lanka,780,1916,3.0919001,3.0919001
Sri Lanka,780,1917,2.8645999,2.8645999
Sri Lanka,780,1918,2.6960001,2.6960001
Sri Lanka,780,1919,2.5048001,2.5048001
Sri Lanka,780,1920,2.7851,2.7851
Sri Lanka,780,1921,3.7481999,3.7481999
Sri Lanka,780,1922,3.4198999,3.4198999
Sri Lanka,780,1923,3.1870999,3.1870999
Sri Lanka,780,1924,3.1256001,3.1256001
Sri Lanka,780,1925,2.7326,2.7326
Sri Lanka,780,1926,2.7407,2.7407
Sri Lanka,780,1927,2.7533,2.7533
Sri Lanka,780,1928,2.7455001,2.7455001
Sri Lanka,780,1929,2.7583001,2.7583001
Sri Lanka,780,1930,2.7676001,2.7676001
Sri Lanka,780,1931,3.0042,3.0042
Sri Lanka,780,1932,3.8043001,3.8043001
Sri Lanka,780,1933,3.23,3.23
Sri Lanka,780,1934,2.641,2.641
Sri Lanka,780,1935,2.7054,2.7054
Sri Lanka,780,1936,2.6654999,2.6654999
Sri Lanka,780,1937,2.6793001,2.6793001
Sri Lanka,780,1938,2.7356999,2.7356999
Sri Lanka,780,1939,3.0184,3.0184
Sri Lanka,780,1940,3.3160999,3.3160999
Sri Lanka,780,1941,3.3182001,3.3182001
Sri Lanka,780,1942,3.289,3.289
Sri Lanka,780,1943,3.2950001,3.2950001
Sri Lanka,780,1944,3.2950001,3.2950001
Sri Lanka,780,1945,3.2950001,3.2950001
Sri Lanka,780,1946,3.3018,3.3018
Sri Lanka,780,1947,3.3097,3.3097
Sri Lanka,780,1948,3.3111,3.3111
Sri Lanka,780,1949,3.7156999,3.7156999
Sri Lanka,780,1950,4.7916999,4.7916999
Sri Lanka,780,1951,4.7961998,4.7961998
Sri Lanka,780,1952,4.7849998,4.7849998
