country1,ccode1,year,xr_gfd,xr_gfd_trade
Chile,155,1915,6.1469002,6.1469002
Chile,155,1916,5.3504,5.3504
Chile,155,1917,4.0012999,4.0012999
Chile,155,1918,3.4370999,3.4370999
Chile,155,1919,5.1341,5.1341
Chile,155,1920,5.3045998,5.3045998
Chile,155,1921,8.5798998,8.5798998
Chile,155,1922,8.2256002,8.2256002
Chile,155,1923,8.0327997,8.0327997
Chile,155,1924,9.3785,9.3785
Chile,155,1925,8.6082001,8.6082001
Chile,155,1926,8.2901001,8.2901001
Chile,155,1927,8.3097,8.3097
Chile,155,1928,8.2669001,8.2669001
Chile,155,1929,8.2933998,8.2933998
Chile,155,1930,8.2943001,8.2943001
Chile,155,1931,8.2981005,8.2981005
Chile,155,1932,14.0285,14.0285
Chile,155,1933,14.0673,14.0673
Chile,155,1934,9.9540005,9.9540005
Chile,155,1935,19.6731,19.6731
Chile,155,1936,19.805201,19.805201
Chile,155,1937,25.6984,25.6984
Chile,155,1938,25,25
Chile,155,1939,25,25
Chile,155,1940,25,25
Chile,155,1941,25,25
Chile,155,1942,26.497101,26.497101
Chile,155,1943,29.698601,29.698601
Chile,155,1944,30.299999,30.299999
Chile,155,1945,30.5193,30.5193
Chile,155,1946,30.6,30.6
Chile,155,1947,30.8365,30.8365
Chile,155,1948,42,42
Chile,155,1949,43,43
Chile,155,1950,59.289398,59.289398
Chile,155,1951,82.658203,82.658203
Chile,155,1952,110.6918,110.6918
