country1,ccode1,year,xr_gfd,xr_gfd_trade
China,710,1915,2.4515,2.4515
China,710,1916,1.9537,1.9537
China,710,1917,1.4988,1.4988
China,710,1918,1.2073,1.2073
China,710,1919,1.0904,1.0904
China,710,1920,1.3333,1.3333
China,710,1921,1.9689,1.9689
China,710,1922,1.838,1.838
China,710,1923,1.9235,1.9235
China,710,1924,1.8963,1.8963
China,710,1925,1.836,1.836
China,710,1926,2.0437,2.0437
China,710,1927,2.2487,2.2487
China,710,1928,2.1733,2.1733
China,710,1929,2.3948,2.3948
China,710,1930,3.3786,3.3786
China,710,1931,4.4753,4.4753
China,710,1932,4.576,4.576
China,710,1933,3.91,3.91
China,710,1934,2.9352,2.9352
China,710,1935,2.7678,2.7678
China,710,1936,3.3615,3.3615
China,710,1937,3.378,3.378
China,710,1938,4.9918,4.9918
China,710,1939,9.688700000000001,9.688700000000001
China,710,1940,16.9245,16.9245
China,710,1941,18.6523,18.6523
China,710,1942,34.3333,34.3333
China,710,1943,73.4833,73.4833
China,710,1944,294.75,294.75
China,710,1945,1524.1667,1524.1667
China,710,1946,4730.9639,4730.9639
China,710,1947,41500.9677,41500.9677
China,710,1948,1336189.253,1336189.253
China,710,1949,10875773.3362,10875773.3362
