country1,ccode1,year,xr_gfd,xr_gfd_trade
Colombia,100,1919,.92869997,.92869997
Colombia,100,1920,1.1241,1.1241
Colombia,100,1921,1.1441,1.1441
Colombia,100,1922,1.0802,1.0802
Colombia,100,1923,1.0483,1.0483
Colombia,100,1924,1.0154001,1.0154001
Colombia,100,1925,1.0201,1.0201
Colombia,100,1926,1.0156,1.0156
Colombia,100,1927,1.0233999,1.0233999
Colombia,100,1928,1.0246,1.0246
Colombia,100,1929,1.0322,1.0322
Colombia,100,1930,1.0351,1.0351
Colombia,100,1931,1.0345,1.0345
Colombia,100,1932,1.0496,1.0496
Colombia,100,1933,1.2452,1.2452
Colombia,100,1934,1.6803,1.6803
Colombia,100,1935,1.8762,1.8762
Colombia,100,1936,1.8316,1.8316
Colombia,100,1937,1.7924,1.7924
Colombia,100,1938,1.7874,1.7874
Colombia,100,1939,1.7525001,1.7525001
Colombia,100,1940,1.752,1.752
Colombia,100,1941,1.7544,1.7544
Colombia,100,1942,1.7546,1.7546
Colombia,100,1943,1.755,1.755
Colombia,100,1944,1.755,1.755
Colombia,100,1945,1.755,1.755
Colombia,100,1946,1.7543,1.7543
Colombia,100,1947,1.75,1.75
Colombia,100,1948,1.7497,1.7497
Colombia,100,1949,1.9403,1.9403
Colombia,100,1950,1.942,1.942
Colombia,100,1951,2.3506999,2.3506999
Colombia,100,1952,2.484,2.484
