country1,ccode1,year,xr_gfd,xr_gfd_trade
Costa Rica,94,1921,4.4375,4.4375
Costa Rica,94,1922,4.3899999,4.3899999
Costa Rica,94,1923,4.4575,4.4575
Costa Rica,94,1924,4.0757999,4.0757999
Costa Rica,94,1925,4,4
Costa Rica,94,1926,4,4
Costa Rica,94,1927,4,4
Costa Rica,94,1928,4,4
Costa Rica,94,1929,4,4
Costa Rica,94,1930,4,4
Costa Rica,94,1931,4,4
Costa Rica,94,1932,4.4098001,4.4098001
Costa Rica,94,1933,4.5093002,4.5093002
Costa Rica,94,1934,4.2744999,4.2744999
Costa Rica,94,1935,5.9233999,5.9233999
Costa Rica,94,1936,6.1492,1
Costa Rica,94,1937,5.6199999,1
Costa Rica,94,1938,5.6199999,1
Costa Rica,94,1939,5.6199999,1
Costa Rica,94,1940,5.6199999,1
Costa Rica,94,1941,5.6199999,1
Costa Rica,94,1942,5.6199999,1
Costa Rica,94,1943,5.6199999,1
Costa Rica,94,1944,5.6199999,1
Costa Rica,94,1945,5.6279998,1
Costa Rica,94,1946,5.6350002,1
Costa Rica,94,1947,5.6350002,1
Costa Rica,94,1948,5.6350002,1
Costa Rica,94,1949,5.6350002,1
Costa Rica,94,1950,5.6350002,5.6350002
Costa Rica,94,1951,7.421,7.421
Costa Rica,94,1952,6.7828002,6.7828002
