country1,ccode1,year,xr_gfd,xr_gfd_trade
Cyprus,352,1918,.20985833,.20985833
Cyprus,352,1919,.22678334,.22678334
Cyprus,352,1920,.27402499,.27402499
Cyprus,352,1921,.25996667,.25996667
Cyprus,352,1922,.22587501,.22587501
Cyprus,352,1923,.21863334,.21863334
Cyprus,352,1924,.22654167,.22654167
Cyprus,352,1925,.20710833,.20710833
Cyprus,352,1926,.20586666,.20586666
Cyprus,352,1927,.20571667,.20571667
Cyprus,352,1928,.20549166,.20549166
Cyprus,352,1929,.20587499,.20587499
Cyprus,352,1930,.20566666,.20566666
Cyprus,352,1931,.22410834,.22410834
Cyprus,352,1932,.28589165,.28589165
Cyprus,352,1933,.24266666,.24266666
Cyprus,352,1934,.19849166,.19849166
Cyprus,352,1935,.204025,.204025
Cyprus,352,1936,.20121667,.20121667
Cyprus,352,1937,.20226666,.20226666
Cyprus,352,1938,.20465,.20465
Cyprus,352,1939,.22675833,.22675833
Cyprus,352,1940,.26190832,.26190832
Cyprus,352,1941,.24803333,.24803333
Cyprus,352,1942,.24779999,.24779999
Cyprus,352,1943,.24779999,.24779999
Cyprus,352,1944,.24779999,.24779999
Cyprus,352,1945,.24796666,.24796666
Cyprus,352,1946,.24789999,.24789999
Cyprus,352,1947,.24789999,.24789999
Cyprus,352,1948,.24789999,.24789999
Cyprus,352,1949,.2843,.2843
Cyprus,352,1950,.35710001,.35710001
Cyprus,352,1951,.35710001,.35710001
