country1,ccode1,year,xr_gfd,xr_gfd_trade
Denmark,390,1915,3.9307001,3.9307001
Denmark,390,1916,3.5929,3.5929
Denmark,390,1917,3.3896999,3.3896999
Denmark,390,1918,3.3596001,3.3596001
Denmark,390,1919,4.3621998,4.3621998
Denmark,390,1920,6.4471998,6.4471998
Denmark,390,1921,5.6529002,5.6529002
Denmark,390,1922,4.7876,4.7876
Denmark,390,1923,5.4538002,5.4538002
Denmark,390,1924,5.9691,5.9691
Denmark,390,1925,4.8115001,4.8115001
Denmark,390,1926,3.8037,3.8037
Denmark,390,1927,3.7358,3.7358
Denmark,390,1928,3.734,3.734
Denmark,390,1929,3.7393999,3.7393999
Denmark,390,1930,3.7312,3.7312
Denmark,390,1931,4.0242,4.0242
Denmark,390,1932,5.3323002,5.3323002
Denmark,390,1933,5.3692999,5.3692999
Denmark,390,1934,4.4436998,4.4436998
Denmark,390,1935,4.5713,4.5713
Denmark,390,1936,4.5187998,4.5187998
Denmark,390,1937,4.5426998,4.5426998
Denmark,390,1938,4.5967999,4.5967999
Denmark,390,1939,4.9198999,4.9198999
Denmark,390,1940,5.1729999,5.1729999
Denmark,390,1941,5.1729999,5.1729999
Denmark,390,1942,4.7909999,4.7909999
Denmark,390,1943,4.7680998,4.7680998
Denmark,390,1944,4.7680998,4.7680998
Denmark,390,1945,4.7820001,4.7820001
Denmark,390,1946,4.8056998,4.8056998
Denmark,390,1947,4.8056998,4.8056998
Denmark,390,1948,4.8056998,4.8056998
Denmark,390,1949,5.4331999,5.4331999
Denmark,390,1950,6.9369001,6.9369001
Denmark,390,1951,6.9271002,6.9271002
Denmark,390,1952,6.9162002,6.9162002
