country1,ccode1,year,xr_gfd,xr_gfd_trade
Ecuador,130,1921,3.7091999,3.7091999
Ecuador,130,1922,4.2995,4.2995
Ecuador,130,1923,3.7886,3.7886
Ecuador,130,1924,4.9631,4.9631
Ecuador,130,1925,4.5549998,4.5549998
Ecuador,130,1926,4.9840999,4.9840999
Ecuador,130,1927,5.2279,5.2279
Ecuador,130,1928,5,5
Ecuador,130,1929,5,5
Ecuador,130,1930,5,5
Ecuador,130,1931,5,5
Ecuador,130,1932,5.7171001,5.7171001
Ecuador,130,1933,6.0282001,6.0282001
Ecuador,130,1934,6,6
Ecuador,130,1935,8.1013002,8.1013002
Ecuador,130,1936,10.5,10.5
Ecuador,130,1937,10.6013,10.6013
Ecuador,130,1938,13.8929,13.8929
Ecuador,130,1939,14.4494,14.4494
Ecuador,130,1940,14.8858,14.8858
Ecuador,130,1941,14.9164,14.9164
Ecuador,130,1942,14.2651,14.2651
Ecuador,130,1943,14.1052,14.1052
Ecuador,130,1944,14.0825,14.0825
Ecuador,130,1945,13.75,13.75
Ecuador,130,1946,14.6225,14.6225
Ecuador,130,1947,15,15
Ecuador,130,1948,15,15
Ecuador,130,1949,15,15
Ecuador,130,1950,15,15
Ecuador,130,1951,15.65,15.65
Ecuador,130,1952,17.437799,17.437799
