country1,ccode1,year,xr_gfd,xr_gfd_trade
Egypt,651,1915,.2051,.2051
Egypt,651,1916,.2049,.2049
Egypt,651,1917,.2051,.2051
Egypt,651,1918,.205,.205
Egypt,651,1919,.2219,.2219
Egypt,651,1920,.2683,.2683
Egypt,651,1921,.2545,.2545
Egypt,651,1922,.2207,.2207
Egypt,651,1923,.21359999,.21359999
Egypt,651,1924,.22130001,.22130001
Egypt,651,1925,.20209999,.20209999
Egypt,651,1926,.2008,.2008
Egypt,651,1927,.2008,.2008
Egypt,651,1928,.2005,.2005
Egypt,651,1929,.20100001,.20100001
Egypt,651,1930,.2006,.2006
Egypt,651,1931,.2194,.2194
Egypt,651,1932,.27919999,.27919999
Egypt,651,1933,.2374,.2374
Egypt,651,1934,.1937,.1937
Egypt,651,1935,.1991,.1991
Egypt,651,1936,.1963,.1963
Egypt,651,1937,.1973,.1973
Egypt,651,1938,.1997,.1997
Egypt,651,1939,.22149999,.22149999
Egypt,651,1940,.25690001,.25690001
Egypt,651,1941,.2419,.2419
Egypt,651,1942,.2418,.2418
Egypt,651,1943,.24240001,.24240001
Egypt,651,1944,.24250001,.24250001
Egypt,651,1945,.24240001,.24240001
Egypt,651,1946,.2422,.2422
Egypt,651,1947,.242,.242
Egypt,651,1948,.2418,.2418
Egypt,651,1949,.27219999,.27219999
Egypt,651,1950,.34810001,.34810001
Egypt,651,1951,.34819999,.34819999
Egypt,651,1952,.34909999,.34909999
