country1,ccode1,year,xr_gfd,xr_gfd_trade
Estonia,366,1921,3.4891667,3.4891667
Estonia,366,1922,3.3897572,3.3897572
Estonia,366,1923,3.4318285,3.4318285
Estonia,366,1924,3.9077153,3.9077153
Estonia,366,1925,3.721065,3.721065
Estonia,366,1926,3.7174284,3.7174284
Estonia,366,1927,3.7191129,3.7191129
Estonia,366,1928,3.7205153,3.7205153
Estonia,366,1929,3.7298236,3.7298236
Estonia,366,1930,3.7422042,3.7422042
Estonia,366,1931,3.7507093,3.7507093
Estonia,366,1932,3.7929697,3.7929697
Estonia,366,1933,3.7081604,3.7081604
Estonia,366,1934,3.6071844,3.6071844
Estonia,366,1935,3.7049296,3.7049296
Estonia,366,1936,3.6510737,3.6510737
Estonia,366,1937,3.6703422,3.6703422
Estonia,366,1938,3.7140379,3.7140379
Estonia,366,1939,3.9678748,3.9678748
Estonia,366,1940,4.1649156,4.1649156
Estonia,366,1941,3.8980751,3.8980751
Estonia,366,1942,2.49265,2.49265
Estonia,366,1943,2.4911749,2.4911749
Estonia,366,1944,5.3000002,5.3000002
Estonia,366,1945,5.3000002,5.3000002
Estonia,366,1946,5.3000002,5.3000002
Estonia,366,1947,5.3000002,5.3000002
Estonia,366,1948,5.3000002,5.3000002
Estonia,366,1949,5.3000002,5.3000002
Estonia,366,1950,4.1083331,4.1083331
Estonia,366,1951,4,4
