country1,ccode1,year,xr_gfd,xr_gfd_trade
Fiji,950,1918,4.28895,4.28895
Fiji,950,1919,3.9879501,3.9879501
Fiji,950,1920,3.2936001,3.2936001
Fiji,950,1921,3.4668918,3.4668918
Fiji,950,1922,3.9858251,3.9858251
Fiji,950,1923,4.11835,4.11835
Fiji,950,1924,3.9760499,3.9760499
Fiji,950,1925,4.345675,4.345675
Fiji,950,1926,4.3715916,4.3715916
Fiji,950,1927,4.3747835,4.3747835
Fiji,950,1928,4.3795915,4.3795915
Fiji,950,1929,4.3716002,4.3716002
Fiji,950,1930,4.3758831,4.3758831
Fiji,950,1931,4.0790749,4.0790749
Fiji,950,1932,3.1535749,3.1535749
Fiji,950,1933,3.7958,3.7958
Fiji,950,1934,4.5347915,4.5347915
Fiji,950,1935,4.4117918,4.4117918
Fiji,950,1936,4.4732418,4.4732418
Fiji,950,1937,4.4501252,4.4501252
Fiji,950,1938,4.4003835,4.4003835
Fiji,950,1939,3.9931834,3.9931834
Fiji,950,1940,3.4509416,3.4509416
Fiji,950,1941,3.6283166,3.6283166
Fiji,950,1942,3.6324,3.6324
Fiji,950,1943,3.6324,3.6324
Fiji,950,1944,3.6324,3.6324
Fiji,950,1945,3.6297667,3.6297667
Fiji,950,1946,2.169775,2.169775
Fiji,950,1947,2.4870999,2.4870999
Fiji,950,1948,2.5178583,2.5178583
Fiji,950,1949,2.5117166,2.5117166
Fiji,950,1950,2.2672751,2.2672751
Fiji,950,1951,2.2837334,2.2837334
