country1,ccode1,year,xr_gfd,xr_gfd_trade
Finland,375,1915,6.4492002,6.4492002
Finland,375,1916,7.2283001,7.2283001
Finland,375,1917,7.4442,7.4442
Finland,375,1918,8.0811005,8.0811005
Finland,375,1919,18.2729,18.2729
Finland,375,1920,29.015499,29.015499
Finland,375,1921,51.952099,51.952099
Finland,375,1922,46.649799,46.649799
Finland,375,1923,37.426399,37.426399
Finland,375,1924,39.855499,39.855499
Finland,375,1925,39.700001,39.700001
Finland,375,1926,39.700001,39.700001
Finland,375,1927,39.700001,39.700001
Finland,375,1928,39.700001,39.700001
Finland,375,1929,39.700001,39.700001
Finland,375,1930,39.700001,39.700001
Finland,375,1931,43.504601,43.504601
Finland,375,1932,64.823196,64.823196
Finland,375,1933,55.0453,55.0453
Finland,375,1934,45.089802,45.089802
Finland,375,1935,46.3536,46.3536
Finland,375,1936,45.8209,45.8209
Finland,375,1937,46.062698,46.062698
Finland,375,1938,46.611198,46.611198
Finland,375,1939,48.8638,48.8638
Finland,375,1940,49.349998,49.349998
Finland,375,1941,49.349998,49.349998
Finland,375,1942,49.349998,49.349998
Finland,375,1943,49.349998,49.349998
Finland,375,1944,49.349998,49.349998
Finland,375,1945,87.832001,87.832001
Finland,375,1946,136,136
Finland,375,1947,136,136
Finland,375,1948,136,136
Finland,375,1949,168.4716,168.4716
Finland,375,1950,231,231
Finland,375,1951,231,231
Finland,375,1952,231,231
