country1,ccode1,year,xr_gfd,xr_gfd_trade
France,220,1915,5.5804,5.5804
France,220,1916,5.8938999,5.8938999
France,220,1917,5.7754002,5.7754002
France,220,1918,5.6299,5.6299
France,220,1919,7.3162999,7.3162999
France,220,1920,14.4779,14.4779
France,220,1921,13.5145,13.5145
France,220,1922,12.3196,12.3196
France,220,1923,16.5802,16.5802
France,220,1924,19.442499,19.442499
France,220,1925,21.2055,21.2055
France,220,1926,31.348,31.348
France,220,1927,25.4893,25.4893
France,220,1928,25.521601,25.521601
France,220,1929,25.554501,25.554501
France,220,1930,25.4876,25.4876
France,220,1931,25.5222,25.5222
France,220,1932,25.4762,25.4762
France,220,1933,20.668301,20.668301
France,220,1934,15.2432,15.2432
France,220,1935,15.1612,15.1612
France,220,1936,16.785999,16.785999
France,220,1937,25.235201,25.235201
France,220,1938,35.0793,35.0793
France,220,1939,40.114201,40.114201
France,220,1940,47.124802,47.124802
France,220,1941,47.0718,47.0718
France,220,1942,53.368099,53.368099
France,220,1943,88.866997,88.866997
France,220,1944,62.549,62.549
France,220,1945,55,55
France,220,1946,119.1,119.1
France,220,1947,119.1,119.1
France,220,1948,299.45441,299.45441
France,220,1949,351.03671,351.03671
France,220,1950,349.85541,349.85541
France,220,1951,349.96439,349.96439
France,220,1952,349.9668,349.9668
