country1,ccode1,year,xr_gfd,xr_gfd_trade
Gambia,420,1918,.21031818,.21031818
Gambia,420,1919,.22758296,.22758296
Gambia,420,1920,.27512917,.27512917
Gambia,420,1921,.2610209,.2610209
Gambia,420,1922,.22631645,.22631645
Gambia,420,1923,.21904272,.21904272
Gambia,420,1924,.22692949,.22692949
Gambia,420,1925,.20729356,.20729356
Gambia,420,1926,.20600514,.20600514
Gambia,420,1927,.20590033,.20590033
Gambia,420,1928,.20567878,.20567878
Gambia,420,1929,.20610997,.20610997
Gambia,420,1930,.20579582,.20579582
Gambia,420,1931,.22498263,.22498263
Gambia,420,1932,.28635561,.28635561
Gambia,420,1933,.24352098,.24352098
Gambia,420,1934,.19869614,.19869614
Gambia,420,1935,.20418419,.20418419
Gambia,420,1936,.20130707,.20130707
Gambia,420,1937,.20234984,.20234984
Gambia,420,1938,.2048344,.2048344
Gambia,420,1939,.22714677,.22714677
Gambia,420,1940,.26351762,.26351762
Gambia,420,1941,.24809673,.24809673
Gambia,420,1942,.248,.248
Gambia,420,1943,.24867354,.24867354
Gambia,420,1944,.24879999,.24879999
Gambia,420,1945,.24860451,.24860451
Gambia,420,1946,.2484,.2484
Gambia,420,1947,.24823999,.24823999
Gambia,420,1948,.24801543,.24801543
Gambia,420,1949,.27938935,.27938935
Gambia,420,1950,.35702959,.35702959
Gambia,420,1951,.35709453,.35709453
