country1,ccode1,year,xr_gfd,xr_gfd_trade
Germany,255,1915,4.8565,4.8565
Germany,255,1916,5.5089,5.5089
Germany,255,1917,6.5499,6.5499
Germany,255,1918,5.975,5.975
Germany,255,1919,20.0034,20.0034
Germany,255,1920,63.6086,63.6086
Germany,255,1921,106.9747,106.9747
Germany,255,1922,1889.6213,1889.6213
Germany,255,1923,383615997037.2033,383615997037.2033
Germany,255,1924,3410641022031.668,3410641022031.668
Germany,255,1925,4.2,4.2
Germany,255,1926,4.2026,4.2026
Germany,255,1927,4.2097,4.2097
Germany,255,1928,4.1943,4.1943
Germany,255,1929,4.2036,4.2036
Germany,255,1930,4.1959,4.1959
Germany,255,1931,4.2394,4.2394
Germany,255,1932,4.2131,4.2131
Germany,255,1933,3.4128,3.4128
Germany,255,1934,2.543,2.543
Germany,255,1935,2.485,2.485
Germany,255,1936,2.4821,2.4821
Germany,255,1937,2.4875,2.4875
Germany,255,1938,2.49,2.49
Germany,255,1939,2.4972,2.4972
Germany,255,1940,2.4997,2.4997
Germany,255,1941,2.4975,2.4975
Germany,255,1942,2.4925,2.4925
Germany,255,1943,2.4909,2.4909
Germany,255,1944,2.4873,2.4873
Germany,255,1945,10,10
Germany,255,1946,10,10
Germany,255,1947,10,10
Germany,255,1948,7.2208,7.2208
Germany,255,1949,3.62,3.62
Germany,255,1950,4.2,4.2
Germany,255,1951,4.2,4.2
Germany,255,1952,4.2,4.2
