country1,ccode1,year,xr_gfd,xr_gfd_trade
Ghana,452,1918,.21031818,.21031818
Ghana,452,1919,.22758296,.22758296
Ghana,452,1920,.27512917,.27512917
Ghana,452,1921,.2610209,.2610209
Ghana,452,1922,.22631645,.22631645
Ghana,452,1923,.21904272,.21904272
Ghana,452,1924,.22692949,.22692949
Ghana,452,1925,.20729356,.20729356
Ghana,452,1926,.20600514,.20600514
Ghana,452,1927,.20590033,.20590033
Ghana,452,1928,.20567878,.20567878
Ghana,452,1929,.20610997,.20610997
Ghana,452,1930,.20579582,.20579582
Ghana,452,1931,.22498263,.22498263
Ghana,452,1932,.28635561,.28635561
Ghana,452,1933,.24352098,.24352098
Ghana,452,1934,.19869614,.19869614
Ghana,452,1935,.20418419,.20418419
Ghana,452,1936,.20130707,.20130707
Ghana,452,1937,.20234984,.20234984
Ghana,452,1938,.2048344,.2048344
Ghana,452,1939,.22714677,.22714677
Ghana,452,1940,.26351762,.26351762
Ghana,452,1941,.24809673,.24809673
Ghana,452,1942,.248,.248
Ghana,452,1943,.24867354,.24867354
Ghana,452,1944,.24879999,.24879999
Ghana,452,1945,.24860451,.24860451
Ghana,452,1946,.2484,.2484
Ghana,452,1947,.24823999,.24823999
Ghana,452,1948,.24801543,.24801543
Ghana,452,1949,.27938935,.27938935
Ghana,452,1950,.35702959,.35702959
Ghana,452,1951,.35709453,.35709453
