country1,ccode1,year,xr_gfd,xr_gfd_trade
Greece,350,1915,5.2505,5.2505
Greece,350,1916,5.1572,5.1572
Greece,350,1917,5.0559,5.0559
Greece,350,1918,5.1407,5.1407
Greece,350,1919,5.3858,5.3858
Greece,350,1920,9.233000000000001,9.233000000000001
Greece,350,1921,18.0502,18.0502
Greece,350,1922,36.6396,36.6396
Greece,350,1923,65.33450000000001,65.33450000000001
Greece,350,1924,56.2282,56.2282
Greece,350,1925,65.0461,65.0461
Greece,350,1926,80.14530000000001,80.14530000000001
Greece,350,1927,76.0821,76.0821
Greece,350,1928,76.74420000000001,76.74420000000001
Greece,350,1929,77.3411,77.3411
Greece,350,1930,77.27500000000001,77.27500000000001
Greece,350,1931,77.4435,77.4435
Greece,350,1932,137.3939,137.3939
Greece,350,1933,144.2091,144.2091
Greece,350,1934,106.5995,106.5995
Greece,350,1935,106.7204,106.7204
Greece,350,1936,107.9352,107.9352
Greece,350,1937,110.7154,110.7154
Greece,350,1938,112.0135,112.0135
Greece,350,1939,123.5863,123.5863
Greece,350,1940,149.3759,149.3759
Greece,350,1941,288.4953,288.4953
Greece,350,1942,18701.6625,18701.6625
Greece,350,1943,69258.71249999999,69258.71249999999
Greece,350,1944,30928866696.5958,30928866696.5958
Greece,350,1945,1166.9447,1166.9447
Greece,350,1946,5020,5020
Greece,350,1947,5020,5020
Greece,350,1948,10000,10000
Greece,350,1949,11666.6667,11666.6667
Greece,350,1950,15000,15000
Greece,350,1951,15000,15000
Greece,350,1952,15000,15000
