country1,ccode1,year,xr_gfd,xr_gfd_trade
Guyana,110,1918,1.00735,1.00735
Guyana,110,1919,1.088575,1.088575
Guyana,110,1920,1.3153167,1.3153167
Guyana,110,1921,1.247875,1.247875
Guyana,110,1922,1.0842583,1.0842583
Guyana,110,1923,1.0494083,1.0494083
Guyana,110,1924,1.0874584,1.0874584
Guyana,110,1925,.99414164,.99414164
Guyana,110,1926,.98822498,.98822498
Guyana,110,1927,.98745835,.98745835
Guyana,110,1928,.98643333,.98643333
Guyana,110,1929,.98826665,.98826665
Guyana,110,1930,.98723334,.98723334
Guyana,110,1931,1.0757583,1.0757583
Guyana,110,1932,1.3723333,1.3723333
Guyana,110,1933,1.1647583,1.1647583
Guyana,110,1934,.95285833,.95285833
Guyana,110,1935,.97934169,.97934169
Guyana,110,1936,.96582502,.96582502
Guyana,110,1937,.97091669,.97091669
Guyana,110,1938,.98233336,.98233336
Guyana,110,1939,1.0885084,1.0885084
Guyana,110,1940,1.2572,1.2572
Guyana,110,1941,1.1905251,1.1905251
Guyana,110,1942,1.1896,1.1896
Guyana,110,1943,1.1896,1.1896
Guyana,110,1944,1.1896,1.1896
Guyana,110,1945,1.1903167,1.1903167
Guyana,110,1946,1.914525,1.914525
Guyana,110,1947,1.7123417,1.7123417
Guyana,110,1948,1.70875,1.70875
Guyana,110,1949,1.6874167,1.6874167
Guyana,110,1950,1.9015,1.9015
Guyana,110,1951,1.87825,1.87825
