country1,ccode1,year,xr_gfd,xr_gfd_trade
Haiti,41,1915,5.0233002,5.0233002
Haiti,41,1916,5,5
Haiti,41,1917,5,5
Haiti,41,1918,5,5
Haiti,41,1919,5,5
Haiti,41,1920,5,5
Haiti,41,1921,5,5
Haiti,41,1922,5,5
Haiti,41,1923,5,5
Haiti,41,1924,5,5
Haiti,41,1925,5,5
Haiti,41,1926,5,5
Haiti,41,1927,5,5
Haiti,41,1928,5,5
Haiti,41,1929,5,5
Haiti,41,1930,5,5
Haiti,41,1931,5,5
Haiti,41,1932,5,5
Haiti,41,1933,5,5
Haiti,41,1934,5,5
Haiti,41,1935,5,5
Haiti,41,1936,5,5
Haiti,41,1937,5,5
Haiti,41,1938,5,5
Haiti,41,1939,5,5
Haiti,41,1940,5,5
Haiti,41,1941,5,5
Haiti,41,1942,5,5
Haiti,41,1943,5,5
Haiti,41,1944,5,5
Haiti,41,1945,5,5
Haiti,41,1946,5,5
Haiti,41,1947,5,5
Haiti,41,1948,5,5
Haiti,41,1949,5,5
Haiti,41,1950,5,5
Haiti,41,1951,5,5
Haiti,41,1952,5,5
