country1,ccode1,year,xr_gfd,xr_gfd_trade
Honduras,91,1915,1.1136,1.1136
Honduras,91,1916,1.1770999,1.1770999
Honduras,91,1917,1.1529,1.1529
Honduras,91,1918,1.1228,1.1228
Honduras,91,1919,1.9311,1.9311
Honduras,91,1920,2,2
Honduras,91,1921,2,2
Honduras,91,1922,2,2
Honduras,91,1923,2,2
Honduras,91,1924,2,2
Honduras,91,1925,2,2
Honduras,91,1926,2,2
Honduras,91,1927,2,2
Honduras,91,1928,2,2
Honduras,91,1929,2,2
Honduras,91,1930,2,2
Honduras,91,1931,2,2
Honduras,91,1932,2,2
Honduras,91,1933,2,2
Honduras,91,1934,2,2
Honduras,91,1935,2,2
Honduras,91,1936,2,2
Honduras,91,1937,2,2
Honduras,91,1938,2,2
Honduras,91,1939,2,2
Honduras,91,1940,2,2
Honduras,91,1941,2,2
Honduras,91,1942,2,2
Honduras,91,1943,2,2
Honduras,91,1944,2,2
Honduras,91,1945,2,2
Honduras,91,1946,2,2
Honduras,91,1947,2,2
Honduras,91,1948,2,2
Honduras,91,1949,2,2
Honduras,91,1950,2,2
Honduras,91,1951,2,2
Honduras,91,1952,2,2
