country1,ccode1,year,xr_gfd,xr_gfd_trade
Hong Kong,720,1915,2.3292999,2.3292999
Hong Kong,720,1916,1.9922,1.9922
Hong Kong,720,1917,1.6229,1.6229
Hong Kong,720,1918,1.2823,1.2823
Hong Kong,720,1919,1.1882,1.1882
Hong Kong,720,1920,1.3038,1.3038
Hong Kong,720,1921,1.9291,1.9291
Hong Kong,720,1922,1.788,1.788
Hong Kong,720,1923,1.8835,1.8835
Hong Kong,720,1924,1.8922,1.8922
Hong Kong,720,1925,1.7552,1.7552
Hong Kong,720,1926,1.8695,1.8695
Hong Kong,720,1927,2.0250001,2.0250001
Hong Kong,720,1928,1.9938999,1.9938999
Hong Kong,720,1929,2.1198001,2.1198001
Hong Kong,720,1930,2.9703,2.9703
Hong Kong,720,1931,4.0830998,4.0830998
Hong Kong,720,1932,4.2718,4.2718
Hong Kong,720,1933,3.5369999,3.5369999
Hong Kong,720,1934,2.5871,2.5871
Hong Kong,720,1935,2.1399,2.1399
Hong Kong,720,1936,3.1572001,3.1572001
Hong Kong,720,1937,3.2579999,3.2579999
Hong Kong,720,1938,3.2860999,3.2860999
Hong Kong,720,1939,3.6612,3.6612
Hong Kong,720,1940,4.3712001,4.3712001
Hong Kong,720,1941,4.0661998,4.0661998
Hong Kong,720,1942,4,4
Hong Kong,720,1943,4,4
Hong Kong,720,1944,4,4
Hong Kong,720,1945,4,4
Hong Kong,720,1946,4.1387,4.1387
Hong Kong,720,1947,4.9969001,4.9969001
Hong Kong,720,1948,5.3421001,5.3421001
Hong Kong,720,1949,5.9182,5.9182
Hong Kong,720,1950,6.3333001,6.3333001
Hong Kong,720,1951,6.3958998,6.3958998
Hong Kong,720,1952,6.4583998,6.4583998
