country1,ccode1,year,xr_gfd,xr_gfd_trade
Hungary,310,1915,6.6218,6.6218
Hungary,310,1916,8.323399999999999,8.323399999999999
Hungary,310,1917,10.5193,10.5193
Hungary,310,1918,10.1855,10.1855
Hungary,310,1919,56.3484,56.3484
Hungary,310,1920,454.3043,454.3043
Hungary,310,1921,470.3341,470.3341
Hungary,310,1922,1418.7171,1418.7171
Hungary,310,1923,10797.6495,10797.6495
Hungary,310,1924,67522.5641,67522.5641
Hungary,310,1925,70858.29580000001,70858.29580000001
Hungary,310,1926,70745.283,70745.283
Hungary,310,1927,5.7168,5.7168
Hungary,310,1928,5.7264,5.7264
Hungary,310,1929,5.7331,5.7331
Hungary,310,1930,5.7163,5.7163
Hungary,310,1931,5.7382,5.7382
Hungary,310,1932,5.7418,5.7418
Hungary,310,1933,4.6773,4.6773
Hungary,310,1934,3.3823,3.3823
Hungary,310,1935,3.3781,3.3781
Hungary,310,1936,4.3751,4.3751
Hungary,310,1937,5.0602,5.0602
Hungary,310,1938,5.069,5.069
Hungary,310,1939,5.3235,5.3235
Hungary,310,1940,6.0645,6.0645
Hungary,310,1941,4.7819,4.7819
Hungary,310,1942,4.125,4.125
Hungary,310,1943,4.1225,4.1225
Hungary,310,1944,4.115,4.115
Hungary,310,1945,71621.6667,71621.6667
Hungary,310,1946,2.42105586459e+17,2.42105586459e+17
Hungary,310,1947,11.74,11.74
Hungary,310,1948,11.74,11.74
Hungary,310,1949,11.74,11.74
Hungary,310,1950,11.74,11.74
Hungary,310,1951,11.74,11.74
Hungary,310,1952,11.74,11.74
