country1,ccode1,year,xr_gfd,xr_gfd_trade
Iceland,395,1918,3.3308167,3.3308167
Iceland,395,1919,4.1183414,4.1183414
Iceland,395,1920,4.9761415,4.9761415
Iceland,395,1921,4.7210002,4.7210002
Iceland,395,1922,4.1020002,4.1020002
Iceland,395,1923,3.9701166,3.9701166
Iceland,395,1924,4.1140666,4.1140666
Iceland,395,1925,3.9669249,3.9669249
Iceland,395,1926,4.5602498,4.5602498
Iceland,395,1927,4.5567002,4.5567002
Iceland,395,1928,4.5519667,4.5519667
Iceland,395,1929,4.5604835,4.5604835
Iceland,395,1930,4.5556831,4.5556831
Iceland,395,1931,4.9641585,4.9641585
Iceland,395,1932,6.3327584,6.3327584
Iceland,395,1933,5.3749084,5.3749084
Iceland,395,1934,4.3970332,4.3970332
Iceland,395,1935,4.5192666,4.5192666
Iceland,395,1936,4.4568501,4.4568501
Iceland,395,1937,4.4803581,4.4803581
Iceland,395,1938,4.5331082,4.5331082
Iceland,395,1939,5.7570415,5.7570415
Iceland,395,1940,6.4899998,6.4899998
Iceland,395,1941,6.4899998,6.4899998
Iceland,395,1942,6.4899998,6.4899998
Iceland,395,1943,6.4899998,6.4899998
Iceland,395,1944,6.4899998,6.4899998
Iceland,395,1945,6.4899998,6.4899998
Iceland,395,1946,6.4899998,6.4899998
Iceland,395,1947,6.4899998,6.4899998
Iceland,395,1948,6.4899998,6.4899998
Iceland,395,1949,9.7733335,9.7733335
Iceland,395,1950,16.32,16.32
Iceland,395,1951,16.32,16.32
