country1,ccode1,year,xr_gfd,xr_gfd_trade
Indonesia,850,1915,2.4798,2.4798
Indonesia,850,1916,2.3982999,2.3982999
Indonesia,850,1917,2.395,2.395
Indonesia,850,1918,2.1622,2.1622
Indonesia,850,1919,2.5743999,2.5743999
Indonesia,850,1920,2.8347001,2.8347001
Indonesia,850,1921,2.9923999,2.9923999
Indonesia,850,1922,2.6362,2.6362
Indonesia,850,1923,2.6136999,2.6136999
Indonesia,850,1924,2.6954999,2.6954999
Indonesia,850,1925,2.4632001,2.4632001
Indonesia,850,1926,2.4804001,2.4804001
Indonesia,850,1927,2.4930999,2.4930999
Indonesia,850,1928,2.4895,2.4895
Indonesia,850,1929,2.4965,2.4965
Indonesia,850,1930,2.4853001,2.4853001
Indonesia,850,1931,2.4885001,2.4885001
Indonesia,850,1932,2.4879,2.4879
Indonesia,850,1933,2.0030999,2.0030999
Indonesia,850,1934,1.4793,1.4793
Indonesia,850,1935,1.4699,1.4699
Indonesia,850,1936,1.5584,1.5584
Indonesia,850,1937,1.8091,1.8091
Indonesia,850,1938,1.814,1.814
Indonesia,850,1939,1.8645999,1.8645999
Indonesia,850,1940,1.8702,1.8702
Indonesia,850,1941,1.8724999,1.8724999
Indonesia,850,1942,1.87,1.87
Indonesia,850,1943,1.8687,1.8687
Indonesia,850,1944,2.1008,2.1008
Indonesia,850,1945,2.652,2.652
Indonesia,850,1946,2.652,2.652
Indonesia,850,1947,2.6487999,2.6487999
Indonesia,850,1948,2.6484001,2.6484001
Indonesia,850,1949,3.0294001,3.0294001
Indonesia,850,1950,6.9422998,6.9422998
Indonesia,850,1951,10.6585,10.6585
Indonesia,850,1952,11.4027,11.4027
