country1,ccode1,year,xr_gfd,xr_gfd_trade
Iraq,645,1918,.21031919,.21031919
Iraq,645,1919,.22758296,.22758296
Iraq,645,1920,.27512723,.27512723
Iraq,645,1921,.26102123,.26102123
Iraq,645,1922,.22631419,.22631419
Iraq,645,1923,.21904401,.21904401
Iraq,645,1924,.2269311,.2269311
Iraq,645,1925,.20728935,.20728935
Iraq,645,1926,.20600353,.20600353
Iraq,645,1927,.20589967,.20589967
Iraq,645,1928,.20567846,.20567846
Iraq,645,1929,.20610772,.20610772
Iraq,645,1930,.20579582,.20579582
Iraq,645,1931,.22498232,.22498232
Iraq,645,1932,.28635561,.28635561
Iraq,645,1933,.24352098,.24352098
Iraq,645,1934,.19869421,.19869421
Iraq,645,1935,.20418355,.20418355
Iraq,645,1936,.2013016,.2013016
Iraq,645,1937,.20234726,.20234726
Iraq,645,1938,.20483248,.20483248
Iraq,645,1939,.2271471,.2271471
Iraq,645,1940,.26351732,.26351732
Iraq,645,1941,.24809673,.24809673
Iraq,645,1942,.248,.248
Iraq,645,1943,.24858935,.24858935
Iraq,645,1944,.24869999,.24869999
Iraq,645,1945,.24855338,.24855338
Iraq,645,1946,.2484,.2484
Iraq,645,1947,.24823999,.24823999
Iraq,645,1948,.24699999,.24699999
Iraq,645,1949,.2782838,.2782838
Iraq,645,1950,.35605097,.35605097
Iraq,645,1951,.35589999,.35589999
